"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","ABW","ARUBA","CH4",0.0028109,0.0030033,0.0034647,0.0035412,0.0037595,0.0039624,0.0011626,0.0015553,0.0020989,0.0022662,0.0055812,0.0056138,0.0056097,0.005605,0.0055489,0.0056847,0.0061641,0.0068809,0.007247,0.0075483,0.0074263,0.007505,0.0075101,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","AFG","AFGHANISTAN","CH4",0.30285,0.30725,0.2609,0.26768,0.26835,0.32405,0.3722,0.37251,0.37604,0.38503,0.38053,0.37172,0.36518,0.3792,0.39093,0.41317,0.42678,0.46132,0.48006,0.50778,0.51834,0.53895,0.54439,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","AGO","ANGOLA","CH4",27.9401,29.6684,31.3986,30.3995,26.6533,30.2814,34.9832,33.7926,33.6547,30.37,24.7776,23.5162,22.6583,22.4254,22.285,22.4538,20.5487,19.7735,20.2155,19.756,22.1327,22.0263,21.9437,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","AIA","ANGUILLA","CH4",0.00034619,0.00033706,0.00025022,0.00022603,0.00036872,0.0003803,0.00037015,0.00034787,0.0003256,0.00028849,0.00029414,0.00017419,0.00027516,0.00031129,0.0010405,0.0010985,0.0011502,0.0011339,0.001053,0.001128,0.0011354,0.0011388,0.001139,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ALB","ALBANIA","CH4",0.17199,0.23625,0.23541,0.23184,0.14154,0.03591,0.12663,0.11151,0.10542,0.09219,0.099227,0.099668,0.10326,0.10769,0.11401,0.09681,0.113,0.11449,0.11556,0.11559,0.11426,0.11262,0.11244,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","AND","ANDORRA","CH4",0.0077532,0.00824,0.0082852,0.0078321,0.0073509,0.0071789,0.0072088,0.0069011,0.0067807,0.0066619,0.0066725,0.0066943,0.0066185,0.006936,0.0070792,0.0070268,0.006919,0.0067725,0.0067768,0.0065522,0.006477,0.006203,0.0060468,0.00168,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ANT","NETHERLANDS ANTILLES","CH4",0.064312,0.063319,0.072649,0.074875,0.075465,0.075975,0.076176,0.074453,0.077987,0.066706,0.068958,0.076633,0.064169,0.05929,0.068303,0.071182,0.066308,0.070224,0.065862,0.060576,0.029546,0.053932,0.054138,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ARE","UNITED ARAB EMIRATES","CH4",6.4139,7.3084,7.6084,7.9395,8.3193,9.9999,12.1297,12.7425,13.4372,14.3947,16.7413,16.7524,17.6144,19.4175,20.3299,21.2357,22.2522,22.0516,22.062,20.8369,21.8487,22.8694,23.6919,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ARG","ARGENTINA","CH4",4.549,4.8543,5.0537,5.3905,5.7816,6.1817,6.791,7.1334,7.3073,7.5688,7.7231,7.8944,7.573,8.088,8.2536,8.1965,8.2999,8.3128,8.2981,7.8438,7.6943,7.668,7.4878,7.283,7.2933,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ARM","ARMENIA","CH4",1.725,1.571,1.4085,1.2552,1.2717,1.0358,1.0186,0.92646,0.77624,0.66191,0.50562,0.48151,0.52082,0.56037,0.55248,0.60567,0.62427,0.6832,0.71074,0.7187,0.74846,0.76666,0.77514,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","ATG","ANTIGUA AND BARBUDA","CH4",0.0030039,0.0029864,0.0030355,0.0028931,0.0029129,0.0030143,0.0031725,0.0028632,0.0023751,0.0025736,0.0044414,0.0043997,0.0042956,0.0043604,0.0045036,0.0045372,0.0048062,0.0047542,0.0045925,0.0040653,0.0033314,0.0053383,0.0053435,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","AUS","AUSTRALIA","CH4",27.6861,28.2432,29.885,28.7681,26.9419,27.84,28.3756,30.6239,30.6174,27.5131,29.1968,28.5982,27.3492,26.9297,27.5288,28.3726,29.3161,30.5751,30.6541,30.4622,30.4066,29.9005,30.0188,29.6688,28.3185,31.224,32.4264,,
"IPC1","Energy","MtCO2eq","AUT","AUSTRIA","CH4",0.99399,0.89571,0.87869,0.82986,0.68703,0.71028,0.69221,0.64242,0.62873,0.63281,0.62528,0.63881,0.61145,0.60646,0.57188,0.54023,0.54198,0.52908,0.52272,0.51901,0.55211,0.53083,0.55188,0.56031,0.50553,0.51816,0.51954,,
"IPC1","Energy","MtCO2eq","AZE","AZERBAIJAN","CH4",9.1182,8.1457,6.4922,5.5824,5.1538,5.464,4.7443,4.4465,3.9898,4.2529,4.053,4.6477,4.4839,4.4449,4.4308,4.8615,5.5881,7.8666,11.403,11.1132,11.2287,10.9095,11.508,NaN,NaN,NaN,NaN,,
