ISO3,ENERGY CO2,ENERGY CH4,ENERGY N2O,ENERGY HFCS,ENERGY PFCS,ENERGY SF6,ENERGY NF3,IPPU CO2,IPPU CH4,IPPU N2O,IPPU HFCS,IPPU PFCS,IPPU SF6,IPPU NF3,AGRICULTURE CO2,AGRICULTURE CH4,AGRICULTURE N2O,AGRICULTURE HFCS,AGRICULTURE PFCS,AGRICULTURE SF6,AGRICULTURE NF3,LULUCF CO2,LULUCF CH4,LULUCF N2O,LULUCF HFCS,LULUCF PFCS,LULUCF SF6,LULUCF NF3,WASTE CO2,WASTE CH4,WASTE N2O,WASTE HFCS,WASTE PFCS,WASTE SF6,WASTE NF3,AFOLU CO2,AFOLU CH4,AFOLU N2O,AFOLU HFCS,AFOLU PFCS,AFOLU SF6,AFOLU NF3,OTHER CO2,OTHER CH4,OTHER N2O,OTHER HFCS,OTHER PFCS,OTHER SF6,OTHER NF3
ABW,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC
AFG,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered
AGO,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered
AIA,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC
ALA,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC
ALB,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered
AND,Covered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered
ANT,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC,NonUNFCCC
ARE,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation,NoInformation
ARG,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered
