sector,indicator,country,year,variable,value,unit,label
Oil and Gas,Oil and Gas activity: production,AR,2025,projected_current_policy_min,68.4996,Mtoe,
Oil and Gas,Oil and Gas activity: production,AR,2025,projected_current_policy_max,88.6107,Mtoe,
Electricity,Electricity activity (per capita),AR,2025,projected_current_policy_min,3033.245049937933,kWh / cap,
Electricity,Electricity activity (per capita),AR,2030,projected_current_policy_min,3562.2105298456677,kWh / cap,
Electricity,Electricity activity (per capita),AR,2025,projected_current_policy_max,3033.245049937933,kWh / cap,
Electricity,Electricity activity (per capita),AR,2030,projected_current_policy_max,4281.951416638617,kWh / cap,
Electricity,Electricity emissions intensity,AR,2015,projected_current_policy_min,0.0,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2020,projected_current_policy_min,0.0,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2025,projected_current_policy_min,154.4271529076498,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2030,projected_current_policy_min,145.25139664804468,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2015,projected_current_policy_max,0.0,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2020,projected_current_policy_max,0.0,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2025,projected_current_policy_max,201.80527460783927,gCO2 / kWh,
Electricity,Electricity emissions intensity,AR,2030,projected_current_policy_max,170.78274813259242,gCO2 / kWh,
Electricity,Share of renewable electricity generation,AR,2015,projected_current_policy_min,31.0,% renewables,
Electricity,Share of renewable electricity generation,AR,2020,projected_current_policy_min,36.00000000000001,% renewables,
Electricity,Share of renewable electricity generation,AR,2025,projected_current_policy_min,46.0,% renewables,
Electricity,Share of renewable electricity generation,AR,2030,projected_current_policy_min,49.0,% renewables,
Electricity,Share of renewable electricity generation,AR,2015,projected_current_policy_max,31.0,% renewables,
Electricity,Share of renewable electricity generation,AR,2020,projected_current_policy_max,38.22222222222222,% renewables,
Electricity,Share of renewable electricity generation,AR,2025,projected_current_policy_max,51.0,% renewables,
Electricity,Share of renewable electricity generation,AR,2030,projected_current_policy_max,54.0,% renewables,
Electricity,Renewable energy generation (index),AR,2015,projected_current_policy_min,2.3271979091364066,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2020,projected_current_policy_min,3.204727647442063,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2025,projected_current_policy_min,5.5869432241561485,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2030,projected_current_policy_min,5.375076461102153,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2015,projected_current_policy_max,2.3271979091364066,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2020,projected_current_policy_max,3.2764277373074573,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2025,projected_current_policy_max,5.039203692376133,1990 value normalised to 1,
Electricity,Renewable energy generation (index),AR,2030,projected_current_policy_max,5.831062670299728,1990 value normalised to 1,
Transport Road,EVs per capita,AR,2025,projected_current_policy_min,1.2847568860862937,EVs / 1000 cap,
Transport Road,EVs per capita,AR,2030,projected_current_policy_min,6.2850612649525175,EVs / 1000 cap,
Transport Road,EVs per capita,AR,2025,projected_current_policy_max,1.2847568860862937,EVs / 1000 cap,
Transport Road,EVs per capita,AR,2030,projected_current_policy_max,6.2850612649525175,EVs / 1000 cap,
Forestry,Forest land area index,AR,2015,projected_current_policy_min,0.78,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2020,projected_current_policy_min,0.7609999999999999,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2025,projected_current_policy_min,0.752,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2030,projected_current_policy_min,0.747,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2015,projected_current_policy_max,0.78,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2020,projected_current_policy_max,0.7609999999999999,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2025,projected_current_policy_max,0.752,ha of forest (indexed to 1990),
Forestry,Forest land area index,AR,2030,projected_current_policy_max,0.747,ha of forest (indexed to 1990),
Agriculture,Agriculture activity (meat): consumption,AR,2020,projected_current_policy_min,657.39,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,AR,2025,projected_current_policy_min,642.21,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,AR,2020,projected_current_policy_max,657.39,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,AR,2025,projected_current_policy_max,642.21,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): production,AR,2020,projected_current_policy_min,0.365,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,AR,2025,projected_current_policy_min,0.374,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,AR,2020,projected_current_policy_max,0.365,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,AR,2025,projected_current_policy_max,0.374,meat kg / cap / day,
Waste,Waste generation (per capita),AR,2015,projected_current_policy_min,0.3610477281019113,t waste / cap,
Waste,Waste generation (per capita),AR,2020,projected_current_policy_min,0.37174992785724736,t waste / cap,
Waste,Waste generation (per capita),AR,2025,projected_current_policy_min,0.3812795624490093,t waste / cap,
Waste,Waste generation (per capita),AR,2030,projected_current_policy_min,0.3897003591396828,t waste / cap,
Waste,Waste generation (per capita),AR,2015,projected_current_policy_max,0.3610477281019113,t waste / cap,
Waste,Waste generation (per capita),AR,2020,projected_current_policy_max,0.37174992785724736,t waste / cap,
Waste,Waste generation (per capita),AR,2025,projected_current_policy_max,0.3812795624490093,t waste / cap,
Waste,Waste generation (per capita),AR,2030,projected_current_policy_max,0.3897003591396828,t waste / cap,
Macro,Emissions per capita,AR,2015,projected_current_policy_min,7.945890546460586,tCO2e / cap,
Macro,Emissions per capita,AR,2020,projected_current_policy_min,8.608379518405531,tCO2e / cap,
Macro,Emissions per capita,AR,2025,projected_current_policy_min,9.227897116446318,tCO2e / cap,
Macro,Emissions per capita,AR,2030,projected_current_policy_min,9.9286097071868,tCO2e / cap,
Macro,Emissions per capita,AR,2015,projected_current_policy_max,7.945890546460586,tCO2e / cap,
Macro,Emissions per capita,AR,2020,projected_current_policy_max,8.608379518405531,tCO2e / cap,
Macro,Emissions per capita,AR,2025,projected_current_policy_max,9.227897116446318,tCO2e / cap,
Macro,Emissions per capita,AR,2030,projected_current_policy_max,9.9286097071868,tCO2e / cap,
Macro,GDP per capita,AR,2015,projected_current_policy_min,19.453153123970054,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,AR,2020,projected_current_policy_min,20.17094927687492,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,AR,2015,projected_current_policy_max,19.453153123970054,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,AR,2020,projected_current_policy_max,20.17094927687492,thousand USD2012 (PPP) / cap,
Macro,Emissions intensity of GDP,AR,2015,projected_current_policy_min,0.4084628592508074,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,AR,2020,projected_current_policy_min,0.4267711648194292,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,AR,2015,projected_current_policy_max,0.4084628592508074,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,AR,2020,projected_current_policy_max,0.4267711648194292,tCO2e / thsd. USD2012 (PPP),
Industry Cement,Cement activity: production per capita,BR,2015,projected_current_policy_min,0.342799362040043,t product / cap,
