variable,fuel,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Primary Energy Production,total,Afghanistan,Quad Btu,0.072736442,0.092910694,0.094744754,0.099577706,0.099751606,0.12089147,0.12065154,0.114793398,0.121107736,0.118627249,0.118801489,0.019882744,0.016393326,0.016307205,0.01623054,0.012230107,0.011859904,0.011376165,0.011146679,0.011115795,0.011230707,0.007872515,0.008174773,0.009243205,0.00848391,0.008684695,0.009182858,0.013970283,0.013774316,0.018585542,0.027521905,0.041304489,0.036961718,0.039702751,0.044374783,0.042368321,0.049233548
Primary Energy Production,total,Albania,Quad Btu,0.155792099,0.158832204,0.206563675,0.234068296,0.190213385,0.191833822,0.196046005,0.202322028,0.186505115,0.195714614,0.127905626,0.095520951,0.066077876,0.062657134,0.066505379,0.06865102,0.082782995,0.074229513,0.066802887,0.068542587,0.061269951,0.051360764,0.05114099,0.070019962,0.072380848,0.071455004,0.068796602,0.043395026,0.053013135,0.064617005,0.100664418,0.075429708,0.084966028,0.107083575,0.09359599,0.102939637,0.120062319
Primary Energy Production,total,Algeria,Quad Btu,2.802847178,3.037180125,3.225444691,3.606354962,3.858238198,3.90701382,3.968092817,4.216777617,4.297653921,4.503549216,4.752995454,4.916271412,5.03263818,4.884613206,4.735646061,5.048354353,5.248244965,5.592502706,5.749215026,6.019829661,6.190590585,6.169600183,6.390535831,6.788415607,6.90075547,7.479913793,7.417508976,7.129998699,7.179031155,6.944565759,6.928996751,6.83014473,7.001792491,6.512556887,6.564005225,6.698294722,6.912613308
Primary Energy Production,total,American Samoa,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,total,Angola,Quad Btu,0.334684842,0.291044491,0.276254083,0.394475891,0.461739968,0.51126584,0.62096244,0.78897894,0.989781232,0.990138344,1.038111782,1.09156174,1.151722318,1.112003971,1.169655776,1.403958774,1.541624462,1.548849976,1.595950507,1.613669912,1.622595485,1.609024944,1.940916394,1.956346952,2.292677416,2.697304286,3.05868189,3.758617352,4.232090735,4.062983071,4.138142633,3.815738004,3.89098725,3.932241131,3.802088452,3.95057852,3.935157856
Primary Energy Production,total,Antarctica,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,1.98E-05,1.98E-05,1.97E-05,3.90E-05,3.90E-05,3.89E-05,4.76E-06,4.77E-06,4.76E-06,9.32E-06,9.23E-06
Primary Energy Production,total,Antigua and Barbuda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-06,4.86E-06,4.76E-06,5.72E-06,5.71E-06,4.66E-05,5.54E-05
Primary Energy Production,total,Argentina,Quad Btu,1.598112085,1.671144598,1.729475404,1.785111598,1.853642827,1.834910345,1.844781901,1.834805525,1.906273125,1.984673094,2.014669797,2.103069649,2.279840013,2.477170236,2.686150325,2.908844223,3.025679949,3.281399513,3.375957576,3.405537005,3.48996286,3.659050746,3.572537577,3.740678118,3.755909039,3.747933033,3.822919649,3.670841813,3.661385287,3.584660956,3.50880497,3.363583768,3.223291982,3.131796151,3.128021389,3.165389445,3.223768117
Primary Energy Production,total,Armenia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.031160446,0.043802941,0.035889364,0.0195928,0.04071154,0.030819838,0.032169334,0.036536488,0.034304848,0.033196589,0.041199143,0.04120475,0.045665273,0.046917644,0.046331502,0.045684968,0.04411912,0.04639953,0.051566047,0.051605197,0.046819248,0.045980655,0.04536061,0.050534947,0.047246935
Primary Energy Production,total,Aruba,Quad Btu,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002928,0.001035112,0.001102766,0.001303692,0.001459773,0.0015216,0.001630825,0.001283248
