variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,AFG,Afghanistan,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.17,18.17,21.81,29.07,50.88,61.78,83.59,87.22,65.42,47.25,50.88,47.25,43.61,47.25,69.05,72.69,72.69,82.61,67.43,59.61,65.82,23.95,33.79,40.04,6.587,48.77,32.09,37.99,43.73,43.13,42.54,44.94,44.89,47.83,47.77,47.72,47.67,47.61,47.56,47.51,47.46,20.74,20.65,23.5,29.25,29.12,23.19,20.09,11.32,14.04,11.23,14.03,13.91,13.86,19.68,39.28,31.61,31.61,31.61
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,AGO,Angola,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.54,21.81,36.34,43.61,65.42,83.59,76.32,79.95,76.32,83.59,94.49,105.4,119.9,130.8,138.1,152.6,189,221.7,261.7,308.9,381.6,374.3,323.5,147.3,145.6,189.6,187.4,113.2,115.2,113.8,99.17,156.7,154.7,152.8,150.8,421.7,416.1,105.6,105.5,123.4,102.2,99,80.88,110.7,122.4,143.1,83.36,80.26,222.1,238.9,279,301.3,521.5,539.8,540.9,684.4,693.7,578.4,573.7,612.9,778.4,968.7,987.7,987.7,987.7
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,ALB,Albania,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.664,7.328,NaN,NaN,NaN,7.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.328,7.328,7.328,7.328,7.328,21.98,32.98,36.64,40.3,36.64,36.64,58.62,58.62,65.95,62.29,73.28,69.62,109.9,150.2,164.9,179.5,179.5,197.9,256.5,278.5,322.4,348.1,373.7,399.4,421.4,498.3,392,414,417.7,428.7,425,421.4,428.7,370.1,377.4,373.7,300.4,98.93,98.93,51.3,98.93,102.6,51.3,40.3,51.3,87.94,NaN,NaN,289.5,285.8,245.5,260.1,443.3,458,553.3,648.5,897.7,1096,1147,1096,1096,1096,1096
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,ARE,United arab emirates,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.11,96.09,595.1,602.6,806.3,797.4,1018,936.4,1796,1863,1201,1343,1405,1432,1359,1438,1563,1632,2025,2379,2393,2078,2775,2753,2359,2312,2599,2909,3204,3484,4588,5793,7834,6831,6453,6369,5354,5467,5588,5588,5588,5588
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,ARG,Argentina,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.3,174.4,189,265.3,247.1,254.4,279.8,356.2,410.7,512.4,614.2,556,534.2,577.9,530.6,472.5,534.2,537.9,563.3,672.3,617.8,716,777.7,770.5,766.8,817.7,843.2,923.1,1021,1170,1221,1170,1305,1436,1446,1254,1439,1632,1723,1755,2064,2148,2344,2733,2693,2562,2664,2700,2808,2932,3069,3222,3425,3174,2670,2654,2449,2160,2573,2903,2771,2035,1633,1535,2281,2548,2831,2455,2304,3086,3186,3226,2745,2462,1719,2270,2691,3232,3773,3985,3925,3728,4117,4549,4184,4657,4497,4336,4336,4336
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,ARM,Armenia,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.764,4.653,6.111,6.528,6.722,5.278,6.861,8.653,11.33,10.65,11.21,11.21,10.96,10.95,NaN,NaN,NaN,3.399,6.409,9.057,12.45,15.09,19.81,23.37,26.58,30.08,35.79,42.36,46.83,54.42,62.72,73.02,85.69,95.72,107.9,114.8,122.1,136.1,150.4,159.4,164.5,168.8,179,193.6,206.7,222.7,240.2,261.1,269,278.4,281.4,275.8,283.4,293.5,290.7,306.7,317,324.1,340.1,351.1,361.8,369.6,365.8,381.1,95.69,53.38,30.76,66.16,75.44,161.4,201.4,164.8,138.8,143.5,211.4,220.2,298.3,331.1,338.2,406.9,412.2,240.3,288.4,264.3,277.9,273.3,268.6,265.5,265.5,265.5
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,AUS,Australia,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378,356.2,348.9,196.3,123.6,159.9,207.2,276.2,323.5,363.4,178.1,338,348.9,341.6,279.8,196.3,218.1,348.9,363.4,443.4,508.8,530.6,632.4,610.6,672.3,788.6,944.9,984.9,1058,1148,1214,1294,1381,1414,1450,1541,1792,1879,1817,1890,1941,2130,2228,2314,2436,2591,2568,2473,2493,2474,2458,2580,2651,2954,2822,2377,2682,2890,2907,2877,3135,3378,3463,3183,2923,3005,3484,3358,3244,3185,3475,3520,3621,3541,3488,3584,3555,3664,3888,3972,3863,3829,3549,3496,3518,3294,3138,3076,2931,2931
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,AUT,Austria,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,258,287.1,298,149,174.4,138.1,152.6,181.7,181.7,210.8,319.8,367.1,403.4,417.9,338,381.6,NaN,NaN,192.6,138.1,356.2,537.9,636,730.5,686.9,690.5,803.2,919.5,955.8,1054,1065,1196,1399,1523,1512,1635,1864,1999,2224,2246,2250,2253,2377,2693,3086,3019,3078,2673,2768,2628,2721,2573,2481,2383,2241,2172,2150,1983,1968,1931,2016,1991,2033,2005,2105,2032,2102,1631,1634,1761,1599,1607,1712,1720,1736,1754,1790,1797,1954,2131,2133,1799,1622,1666,1673,1656,1639,1701,1729,1729
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,AZE,Azerbaijan,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.598,9.392,12.34,13.18,13.57,10.65,13.85,17.47,22.88,21.5,22.62,22.62,22.12,22.11,NaN,NaN,NaN,6.862,12.94,18.28,25.14,30.45,39.99,47.17,53.66,60.72,72.23,85.5,94.52,109.8,126.6,147.4,173,193.2,217.7,231.7,246.6,274.8,303.6,321.7,332.1,340.7,361.3,381.6,397.7,418.5,441.1,468.6,472,477.6,472.1,452.6,455.1,461.4,447.4,462.1,467.8,468.4,481.6,487.2,492,492.6,478,467.4,380.4,296.4,239.2,104.3,119.6,176.8,114.3,104.6,121,305.1,472.7,541.6,725.3,742.5,783.1,816.5,770.8,621,617.4,688.1,949.1,1109,1386,1265,1265,1265
CO2,kt,n/a,MineralIndustry,IPC2A,ipcc2006,BDI,Burundi,ANDREW2018V2I,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.06,28.11,40.07,28.49,40.7,40.7,40.7
