variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ABW,Aruba,WDI2017P,HISTORY,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AFG,Afghanistan,WDI2017P,HISTORY,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04,1.35e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AGO,Angola,WDI2017P,HISTORY,6.098e+05,6.085e+05,6.073e+05,6.06e+05,6.048e+05,6.035e+05,6.023e+05,6.01e+05,5.998e+05,5.985e+05,5.973e+05,5.96e+05,5.948e+05,5.935e+05,5.923e+05,5.91e+05,5.898e+05,5.885e+05,5.873e+05,5.86e+05,5.848e+05,5.836e+05,5.823e+05,5.811e+05,5.798e+05,5.786e+05
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ALB,Albania,WDI2017P,HISTORY,7888,7868,7849,7830,7810,7790,7771,7752,7732,7712,7693,7719,7745,7772,7798,7824,7812,7800,7787,7775,7763,7753,7744,7734,7725,7715
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AND,Andorra,WDI2017P,HISTORY,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ARE,United arab emirates,WDI2017P,HISTORY,2450,2515,2580,2645,2710,2775,2840,2905,2970,3035,3100,3104,3108,3112,3116,3120,3131,3141,3152,3162,3173,3184,3194,3205,3215,3226
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ARG,Argentina,WDI2017P,HISTORY,3.479e+05,3.45e+05,3.421e+05,3.391e+05,3.362e+05,3.333e+05,3.303e+05,3.274e+05,3.245e+05,3.215e+05,3.186e+05,3.153e+05,3.119e+05,3.086e+05,3.052e+05,3.019e+05,2.987e+05,2.955e+05,2.923e+05,2.891e+05,2.86e+05,2.83e+05,2.8e+05,2.771e+05,2.741e+05,2.711e+05
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ARM,Armenia,WDI2017P,HISTORY,3350,3346,3346,3344,3342,3340,3338,3336,3334,3332,3330,3328,3326,3324,3322,3320,3318,3316,3314,3312,3310,3312,3314,3316,3318,3320
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ASM,American samoa,WDI2017P,HISTORY,183.9,183.5,183.2,182.9,182.5,182.2,181.9,181.5,181.2,180.8,180.5,180.2,179.8,179.5,179.1,178.8,178.5,178.1,177.8,177.5,177.1,176.8,176.4,176.1,175.8,175.4
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,ATG,Antigua and barbuda,WDI2017P,HISTORY,103,102.7,102.4,102.1,101.8,101.5,101.2,100.9,100.6,100.3,100,99.6,99.2,98.8,98.4,98,98,98,98,98,98,98,98,98,98,98
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AUS,Australia,WDI2017P,HISTORY,1.285e+06,1.286e+06,1.286e+06,1.286e+06,1.287e+06,1.287e+06,1.287e+06,1.288e+06,1.288e+06,1.288e+06,1.288e+06,1.286e+06,1.284e+06,1.281e+06,1.279e+06,1.276e+06,1.268e+06,1.259e+06,1.25e+06,1.241e+06,1.232e+06,1.235e+06,1.238e+06,1.241e+06,1.244e+06,1.248e+06
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AUT,Austria,WDI2017P,HISTORY,3.776e+04,3.782e+04,3.788e+04,3.795e+04,3.801e+04,3.807e+04,3.813e+04,3.819e+04,3.826e+04,3.832e+04,3.838e+04,3.841e+04,3.843e+04,3.846e+04,3.848e+04,3.851e+04,3.853e+04,3.855e+04,3.856e+04,3.858e+04,3.86e+04,3.862e+04,3.864e+04,3.865e+04,3.867e+04,3.869e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,AZE,Azerbaijan,WDI2017P,HISTORY,8520,8558,8558,8578,8598,8618,8638,8658,8678,8698,8718,8729,8740,8750,8761,8772,9034,9296,9559,9821,1.008e+04,1.035e+04,1.061e+04,1.087e+04,1.113e+04,1.139e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BDI,Burundi,WDI2017P,HISTORY,2890,2799,2708,2617,2526,2435,2344,2253,2162,2071,1980,1946,1912,1878,1844,1810,1954,2098,2242,2386,2530,2576,2622,2668,2714,2760
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BEL,Belgium,WDI2017P,HISTORY,6670,6670,6670,6670,6670,6670,6670,6670,6670,6670,6673,6687,6701,6714,6728,6742,6756,6770,6784,6798,6812,6816,6821,6825,6830,6834
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BEN,Benin,WDI2017P,HISTORY,5.761e+04,5.691e+04,5.621e+04,5.551e+04,5.481e+04,5.411e+04,5.341e+04,5.271e+04,5.201e+04,5.131e+04,5.061e+04,5.011e+04,4.961e+04,4.911e+04,4.861e+04,4.811e+04,4.761e+04,4.711e+04,4.661e+04,4.611e+04,4.561e+04,4.511e+04,4.461e+04,4.411e+04,4.361e+04,4.311e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BFA,Burkina faso,WDI2017P,HISTORY,6.847e+04,6.787e+04,6.727e+04,6.667e+04,6.607e+04,6.548e+04,6.488e+04,6.428e+04,6.368e+04,6.308e+04,6.248e+04,6.188e+04,6.128e+04,6.069e+04,6.009e+04,5.949e+04,5.889e+04,5.829e+04,5.769e+04,5.709e+04,5.649e+04,5.589e+04,5.529e+04,5.47e+04,5.41e+04,5.35e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BGD,Bangladesh,WDI2017P,HISTORY,1.494e+04,1.491e+04,1.489e+04,1.486e+04,1.484e+04,1.481e+04,1.478e+04,1.476e+04,1.473e+04,1.471e+04,1.468e+04,1.465e+04,1.463e+04,1.46e+04,1.458e+04,1.455e+04,1.452e+04,1.45e+04,1.447e+04,1.445e+04,1.442e+04,1.439e+04,1.437e+04,1.434e+04,1.432e+04,1.429e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BGR,Bulgaria- the republic of,WDI2017P,HISTORY,3.327e+04,3.332e+04,3.337e+04,3.341e+04,3.346e+04,3.351e+04,3.356e+04,3.361e+04,3.365e+04,3.37e+04,3.375e+04,3.43e+04,3.485e+04,3.541e+04,3.596e+04,3.651e+04,3.668e+04,3.685e+04,3.703e+04,3.72e+04,3.737e+04,3.754e+04,3.771e+04,3.789e+04,3.806e+04,3.823e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BHR,Bahrain,WDI2017P,HISTORY,2.2,2.3,2.5,2.6,2.8,2.9,3.1,3.2,3.4,3.6,3.7,3.9,4,4.2,4.3,4.5,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.7,5.9,6
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BHS,Bahamas,WDI2017P,HISTORY,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BIH,Bosnia and herzegovina,WDI2017P,HISTORY,2.21e+04,2.205e+04,2.205e+04,2.202e+04,2.2e+04,2.198e+04,2.195e+04,2.192e+04,2.19e+04,2.188e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04,2.185e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BLR,Belarus,WDI2017P,HISTORY,7.78e+04,7.879e+04,7.879e+04,7.928e+04,7.977e+04,8.026e+04,8.076e+04,8.125e+04,8.174e+04,8.224e+04,8.273e+04,8.306e+04,8.338e+04,8.371e+04,8.403e+04,8.436e+04,8.456e+04,8.475e+04,8.495e+04,8.514e+04,8.534e+04,8.554e+04,8.574e+04,8.594e+04,8.614e+04,8.634e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BLZ,Belize,WDI2017P,HISTORY,1.616e+04,1.6e+04,1.585e+04,1.569e+04,1.553e+04,1.538e+04,1.522e+04,1.506e+04,1.491e+04,1.475e+04,1.459e+04,1.451e+04,1.442e+04,1.434e+04,1.425e+04,1.417e+04,1.412e+04,1.406e+04,1.401e+04,1.396e+04,1.391e+04,1.386e+04,1.381e+04,1.376e+04,1.371e+04,1.366e+04
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BMU,Bermuda,WDI2017P,HISTORY,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BOL,Bolivia- the plurinational state of,WDI2017P,HISTORY,6.28e+05,6.252e+05,6.225e+05,6.198e+05,6.171e+05,6.144e+05,6.117e+05,6.09e+05,6.063e+05,6.036e+05,6.009e+05,5.982e+05,5.955e+05,5.928e+05,5.901e+05,5.873e+05,5.823e+05,5.772e+05,5.722e+05,5.671e+05,5.621e+05,5.592e+05,5.563e+05,5.534e+05,5.505e+05,5.476e+05
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BRA,Brazil,WDI2017P,HISTORY,5.467e+06,5.442e+06,5.416e+06,5.391e+06,5.365e+06,5.34e+06,5.314e+06,5.289e+06,5.264e+06,5.238e+06,5.213e+06,5.184e+06,5.155e+06,5.126e+06,5.096e+06,5.067e+06,5.051e+06,5.034e+06,5.018e+06,5.001e+06,4.985e+06,4.975e+06,4.965e+06,4.955e+06,4.945e+06,4.935e+06
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BRB,Barbados,WDI2017P,HISTORY,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
FORESTAREA,km^2,n/a,LandManagement,LANDMANAGE,misc,BRN,Brunei darussalam,WDI2017P,HISTORY,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3954,3938,3922,3906,3890,3872,3854,3836,3818,3800,3800,3800,3800,3800,3800
