variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GDP,2005USD,n/a,Economy,ECO,misc,ABW,Aruba,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.468e+09,NaN,NaN,NaN,NaN,NaN
GDP,2005USD,n/a,Economy,ECO,misc,AFG,Afghanistan,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.013e+09,8.69e+09,8.782e+09,9.763e+09,1.031e+10,1.172e+10,1.214e+10,1.47e+10,1.594e+10,1.691e+10,1.935e+10,1.973e+10,1.999e+10,2.016e+10
GDP,2005USD,n/a,Economy,ECO,misc,AGO,Angola,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.731e+10,2.807e+10,3.029e+10,3.199e+10,3.211e+10,3.202e+10,3.163e+10,2.945e+10,2.218e+10,2.295e+10,2.534e+10,2.818e+10,3.04e+10,3.247e+10,3.353e+10,3.454e+10,3.599e+10,3.349e+10,3.525e+10,3.909e+10,4.623e+10,5.581e+10,6.842e+10,7.787e+10,7.975e+10,8.247e+10,8.57e+10,9.012e+10,9.626e+10,1.009e+11,1.039e+11
GDP,2005USD,n/a,Economy,ECO,misc,ALB,Albania,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.442e+09,5.755e+09,5.924e+09,5.99e+09,5.915e+09,6.02e+09,6.36e+09,6.31e+09,6.22e+09,6.832e+09,6.178e+09,4.35e+09,4.037e+09,4.424e+09,4.791e+09,5.428e+09,5.922e+09,5.281e+09,5.756e+09,6.533e+09,6.969e+09,7.522e+09,7.841e+09,8.293e+09,8.767e+09,9.268e+09,9.772e+09,1.035e+10,1.113e+10,1.15e+10,1.193e+10,1.223e+10,1.24e+10,1.254e+10,1.277e+10,1.313e+10
GDP,2005USD,n/a,Economy,ECO,misc,AND,Andorra,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.023e+09,1.07e+09,1.158e+09,1.248e+09,1.318e+09,1.325e+09,1.369e+09,1.408e+09,1.428e+09,1.429e+09,1.461e+09,1.459e+09,1.477e+09,1.503e+09,1.53e+09,1.565e+09,1.616e+09,1.706e+09,1.793e+09,1.879e+09,1.95e+09,2e+09,2.019e+09,1.998e+09,2.045e+09,2.102e+09,2.2e+09,2.399e+09,2.476e+09,2.577e+09,2.607e+09,2.765e+09,2.943e+09,3.297e+09,3.563e+09,3.842e+09,4.018e+09,4.022e+09,3.676e+09,3.536e+09,3.347e+09,3.186e+09,3.13e+09,3.128e+09,NaN,NaN
GDP,2005USD,n/a,Economy,ECO,misc,ARE,United arab emirates,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.606e+10,6.532e+10,7.932e+10,7.806e+10,9.44e+10,1.169e+11,1.224e+11,1.142e+11,1.087e+11,1.131e+11,1.09e+11,9.273e+10,9.587e+10,9.336e+10,1.049e+11,1.241e+11,1.252e+11,1.294e+11,1.31e+11,1.4e+11,1.494e+11,1.58e+11,1.71e+11,1.715e+11,1.765e+11,1.956e+11,1.984e+11,2.032e+11,2.211e+11,2.422e+11,2.54e+11,2.789e+11,2.878e+11,2.97e+11,2.814e+11,2.86e+11,3.009e+11,3.214e+11,3.366e+11,3.47e+11,3.6e+11
GDP,2005USD,n/a,Economy,ECO,misc,ARG,Argentina,WDI2017P,HISTORY,1.156e+11,1.218e+11,1.208e+11,1.144e+11,1.26e+11,1.393e+11,1.384e+11,1.428e+11,1.497e+11,1.642e+11,1.692e+11,1.787e+11,1.817e+11,1.868e+11,1.971e+11,1.97e+11,1.931e+11,2.065e+11,1.972e+11,2.173e+11,2.263e+11,2.135e+11,2.029e+11,2.107e+11,2.154e+11,1.991e+11,2.147e+11,2.21e+11,2.153e+11,1.992e+11,1.944e+11,2.19e+11,2.452e+11,2.597e+11,2.748e+11,2.67e+11,2.818e+11,3.046e+11,3.164e+11,3.056e+11,3.032e+11,2.899e+11,2.583e+11,2.811e+11,3.065e+11,3.336e+11,3.605e+11,3.929e+11,4.089e+11,3.847e+11,4.236e+11,4.491e+11,4.445e+11,4.556e+11,4.442e+11,4.559e+11
GDP,2005USD,n/a,Economy,ECO,misc,ARM,Armenia,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.358e+09,5.614e+09,3.267e+09,2.98e+09,3.141e+09,3.357e+09,3.554e+09,3.672e+09,3.94e+09,4.071e+09,4.311e+09,4.723e+09,5.345e+09,6.096e+09,6.734e+09,7.668e+09,8.68e+09,9.873e+09,1.055e+10,9.061e+09,9.26e+09,9.696e+09,1.039e+10,1.074e+10,1.112e+10,1.146e+10
GDP,2005USD,n/a,Economy,ECO,misc,ASM,American samoa,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.234e+08,6.284e+08,6.318e+08,6.293e+08,6.031e+08,6.149e+08,5.988e+08,5.735e+08,5.76e+08,5.777e+08,5.523e+08,5.346e+08,5.422e+08,5.481e+08
GDP,2005USD,n/a,Economy,ECO,misc,ATG,Antigua and barbuda,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.066e+08,3.194e+08,3.429e+08,3.724e+08,3.876e+08,3.882e+08,4.064e+08,4.46e+08,4.817e+08,5.429e+08,5.878e+08,6.196e+08,6.554e+08,6.721e+08,6.858e+08,6.916e+08,7.289e+08,7.75e+08,7.426e+08,7.927e+08,8.314e+08,8.681e+08,9.038e+08,9.494e+08,9.191e+08,9.46e+08,1.002e+09,1.055e+09,1.119e+09,1.269e+09,1.389e+09,1.39e+09,1.223e+09,1.136e+09,1.115e+09,1.158e+09,1.156e+09,1.209e+09,1.259e+09
