variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
POP,Pers,n/a,Demography,DEMOGR,misc,ABW,Aruba,WDI2017P,HISTORY,5.421e+04,5.544e+04,5.623e+04,5.67e+04,5.703e+04,5.736e+04,5.771e+04,5.805e+04,5.838e+04,5.872e+04,5.906e+04,5.944e+04,5.985e+04,6.024e+04,6.052e+04,6.066e+04,6.059e+04,6.037e+04,6.011e+04,5.998e+04,6.01e+04,6.057e+04,6.134e+04,6.22e+04,6.283e+04,6.303e+04,6.264e+04,6.184e+04,6.108e+04,6.103e+04,6.215e+04,6.462e+04,6.824e+04,7.25e+04,7.67e+04,8.033e+04,8.32e+04,8.545e+04,8.728e+04,8.9e+04,9.086e+04,9.289e+04,9.5e+04,9.702e+04,9.874e+04,1e+05,1.008e+05,1.012e+05,1.013e+05,1.014e+05,1.016e+05,1.019e+05,1.024e+05,1.029e+05,1.034e+05,1.039e+05
POP,Pers,n/a,Demography,DEMOGR,misc,AFG,Afghanistan,WDI2017P,HISTORY,8.995e+06,9.165e+06,9.344e+06,9.532e+06,9.729e+06,9.935e+06,1.015e+07,1.037e+07,1.06e+07,1.085e+07,1.112e+07,1.141e+07,1.172e+07,1.202e+07,1.232e+07,1.258e+07,1.283e+07,1.306e+07,1.322e+07,1.328e+07,1.321e+07,1.3e+07,1.267e+07,1.228e+07,1.191e+07,1.163e+07,1.144e+07,1.134e+07,1.138e+07,1.161e+07,1.207e+07,1.279e+07,1.375e+07,1.482e+07,1.587e+07,1.677e+07,1.748e+07,1.803e+07,1.851e+07,1.904e+07,1.97e+07,2.053e+07,2.149e+07,2.251e+07,2.35e+07,2.44e+07,2.518e+07,2.588e+07,2.653e+07,2.721e+07,2.796e+07,2.881e+07,2.973e+07,3.068e+07,3.163e+07,3.253e+07
POP,Pers,n/a,Demography,DEMOGR,misc,AGO,Angola,WDI2017P,HISTORY,5.271e+06,5.367e+06,5.466e+06,5.566e+06,5.666e+06,5.765e+06,5.864e+06,5.963e+06,6.066e+06,6.178e+06,6.301e+06,6.438e+06,6.588e+06,6.75e+06,6.924e+06,7.107e+06,7.3e+06,7.501e+06,7.717e+06,7.953e+06,8.212e+06,8.498e+06,8.808e+06,9.129e+06,9.445e+06,9.745e+06,1.002e+07,1.029e+07,1.054e+07,1.082e+07,1.113e+07,1.147e+07,1.185e+07,1.225e+07,1.265e+07,1.304e+07,1.342e+07,1.38e+07,1.419e+07,1.46e+07,1.506e+07,1.556e+07,1.611e+07,1.669e+07,1.73e+07,1.791e+07,1.854e+07,1.918e+07,1.984e+07,2.052e+07,2.122e+07,2.194e+07,2.269e+07,2.345e+07,2.423e+07,2.502e+07
POP,Pers,n/a,Demography,DEMOGR,misc,ALB,Albania,WDI2017P,HISTORY,1.609e+06,1.66e+06,1.711e+06,1.763e+06,1.814e+06,1.865e+06,1.915e+06,1.966e+06,2.022e+06,2.082e+06,2.135e+06,2.188e+06,2.243e+06,2.297e+06,2.35e+06,2.405e+06,2.459e+06,2.514e+06,2.566e+06,2.618e+06,2.672e+06,2.726e+06,2.784e+06,2.844e+06,2.904e+06,2.965e+06,3.023e+06,3.084e+06,3.142e+06,3.228e+06,3.287e+06,3.267e+06,3.247e+06,3.227e+06,3.208e+06,3.188e+06,3.168e+06,3.148e+06,3.129e+06,3.109e+06,3.089e+06,3.06e+06,3.051e+06,3.04e+06,3.027e+06,3.011e+06,2.993e+06,2.97e+06,2.947e+06,2.928e+06,2.913e+06,2.905e+06,2.9e+06,2.897e+06,2.894e+06,2.889e+06
POP,Pers,n/a,Demography,DEMOGR,misc,AND,Andorra,WDI2017P,HISTORY,1.341e+04,1.438e+04,1.538e+04,1.641e+04,1.747e+04,1.855e+04,1.965e+04,2.076e+04,2.189e+04,2.306e+04,2.428e+04,2.556e+04,2.689e+04,2.823e+04,2.951e+04,3.071e+04,3.178e+04,3.277e+04,3.375e+04,3.482e+04,3.606e+04,3.75e+04,3.911e+04,4.086e+04,4.27e+04,4.46e+04,4.652e+04,4.846e+04,5.043e+04,5.245e+04,5.451e+04,5.667e+04,5.89e+04,6.1e+04,6.271e+04,6.385e+04,6.429e+04,6.415e+04,6.389e+04,6.416e+04,6.54e+04,6.777e+04,7.105e+04,7.478e+04,7.834e+04,8.122e+04,8.337e+04,8.488e+04,8.562e+04,8.547e+04,8.442e+04,8.233e+04,7.932e+04,7.59e+04,7.279e+04,7.047e+04
POP,Pers,n/a,Demography,DEMOGR,misc,ARE,United arab emirates,WDI2017P,HISTORY,9.261e+04,1.01e+05,1.122e+05,1.252e+05,1.382e+05,1.503e+05,1.611e+05,1.718e+05,1.853e+05,2.056e+05,2.354e+05,2.752e+05,3.241e+05,3.828e+05,4.519e+05,5.313e+05,6.221e+05,7.228e+05,8.274e+05,9.273e+05,1.017e+06,1.093e+06,1.158e+06,1.218e+06,1.28e+06,1.35e+06,1.431e+06,1.519e+06,1.614e+06,1.712e+06,1.811e+06,1.913e+06,2.019e+06,2.128e+06,2.238e+06,2.35e+06,2.468e+06,2.595e+06,2.734e+06,2.884e+06,3.05e+06,3.218e+06,3.394e+06,3.626e+06,3.976e+06,4.482e+06,5.171e+06,6.01e+06,6.9e+06,7.705e+06,8.329e+06,8.735e+06,8.953e+06,9.04e+06,9.086e+06,9.157e+06
POP,Pers,n/a,Demography,DEMOGR,misc,ARG,Argentina,WDI2017P,HISTORY,2.062e+07,2.095e+07,2.129e+07,2.162e+07,2.195e+07,2.228e+07,2.261e+07,2.293e+07,2.326e+07,2.361e+07,2.397e+07,2.437e+07,2.478e+07,2.521e+07,2.564e+07,2.607e+07,2.648e+07,2.688e+07,2.728e+07,2.768e+07,2.811e+07,2.854e+07,2.899e+07,2.945e+07,2.992e+07,3.039e+07,3.086e+07,3.133e+07,3.18e+07,3.226e+07,3.273e+07,3.319e+07,3.366e+07,3.411e+07,3.456e+07,3.499e+07,3.542e+07,3.583e+07,3.624e+07,3.665e+07,3.706e+07,3.747e+07,3.789e+07,3.831e+07,3.873e+07,3.915e+07,3.956e+07,3.997e+07,4.038e+07,4.08e+07,4.122e+07,4.166e+07,4.21e+07,4.254e+07,4.298e+07,4.342e+07
POP,Pers,n/a,Demography,DEMOGR,misc,ARM,Armenia,WDI2017P,HISTORY,1.867e+06,1.934e+06,2.002e+06,2.07e+06,2.138e+06,2.205e+06,2.269e+06,2.333e+06,2.395e+06,2.456e+06,2.518e+06,2.581e+06,2.643e+06,2.706e+06,2.766e+06,2.826e+06,2.883e+06,2.938e+06,2.992e+06,3.045e+06,3.096e+06,3.146e+06,3.193e+06,3.239e+06,3.288e+06,3.339e+06,3.397e+06,3.457e+06,3.51e+06,3.543e+06,3.545e+06,3.512e+06,3.449e+06,3.37e+06,3.29e+06,3.223e+06,3.173e+06,3.138e+06,3.113e+06,3.094e+06,3.076e+06,3.06e+06,3.047e+06,3.036e+06,3.026e+06,3.015e+06,3.002e+06,2.988e+06,2.975e+06,2.966e+06,2.963e+06,2.968e+06,2.978e+06,2.992e+06,3.006e+06,3.018e+06
POP,Pers,n/a,Demography,DEMOGR,misc,ASM,American samoa,WDI2017P,HISTORY,2.001e+04,2.048e+04,2.112e+04,2.188e+04,2.27e+04,2.352e+04,2.432e+04,2.512e+04,2.589e+04,2.662e+04,2.729e+04,2.792e+04,2.849e+04,2.901e+04,2.949e+04,2.993e+04,3.032e+04,3.069e+04,3.110e+04,3.167e+04,3.246e+04,3.349e+04,3.474e+04,3.616e+04,3.769e+04,3.925e+04,4.084e+04,4.245e+04,4.405e+04,4.559e+04,4.704e+04,4.838e+04,4.96e+04,5.072e+04,5.181e+04,5.287e+04,5.393e+04,5.494e+04,5.59e+04,5.677e+04,5.752e+04,5.818e+04,5.873e+04,5.912e+04,5.926e+04,5.912e+04,5.865e+04,5.79e+04,5.703e+04,5.623e+04,5.564e+04,5.532e+04,5.523e+04,5.53e+04,5.543e+04,5.554e+04
POP,Pers,n/a,Demography,DEMOGR,misc,ATG,Antigua and barbuda,WDI2017P,HISTORY,5.468e+04,5.54e+04,5.631e+04,5.737e+04,5.85e+04,5.965e+04,6.082e+04,6.2e+04,6.318e+04,6.431e+04,6.537e+04,6.634e+04,6.720e+04,6.797e+04,6.866e+04,6.925e+04,6.978e+04,7.022e+04,7.051e+04,7.055e+04,7.03e+04,6.975e+04,6.895e+04,6.796e+04,6.686e+04,6.574e+04,6.460e+04,6.348e+04,6.254e+04,6.197e+04,6.191e+04,6.241e+04,6.343e+04,6.487e+04,6.655e+04,6.835e+04,7.024e+04,7.223e+04,7.421e+04,7.604e+04,7.765e+04,7.897e+04,8.003e+04,8.09e+04,8.172e+04,8.256e+04,8.347e+04,8.44e+04,8.535e+04,8.63e+04,8.723e+04,8.815e+04,8.907e+04,8.998e+04,9.09e+04,9.182e+04
POP,Pers,n/a,Demography,DEMOGR,misc,AUS,Australia,WDI2017P,HISTORY,1.028e+07,1.048e+07,1.074e+07,1.095e+07,1.117e+07,1.139e+07,1.165e+07,1.18e+07,1.201e+07,1.226e+07,1.251e+07,1.294e+07,1.318e+07,1.338e+07,1.372e+07,1.389e+07,1.403e+07,1.419e+07,1.436e+07,1.451e+07,1.469e+07,1.493e+07,1.518e+07,1.537e+07,1.554e+07,1.576e+07,1.602e+07,1.626e+07,1.653e+07,1.681e+07,1.707e+07,1.728e+07,1.75e+07,1.767e+07,1.786e+07,1.807e+07,1.831e+07,1.852e+07,1.871e+07,1.893e+07,1.915e+07,1.941e+07,1.965e+07,1.99e+07,2.013e+07,2.039e+07,2.07e+07,2.083e+07,2.125e+07,2.169e+07,2.203e+07,2.234e+07,2.273e+07,2.312e+07,2.346e+07,2.379e+07
POP,Pers,n/a,Demography,DEMOGR,misc,AUT,Austria,WDI2017P,HISTORY,7.048e+06,7.086e+06,7.13e+06,7.176e+06,7.224e+06,7.271e+06,7.322e+06,7.377e+06,7.415e+06,7.441e+06,7.467e+06,7.5e+06,7.544e+06,7.586e+06,7.599e+06,7.579e+06,7.566e+06,7.568e+06,7.562e+06,7.549e+06,7.549e+06,7.569e+06,7.574e+06,7.562e+06,7.561e+06,7.565e+06,7.57e+06,7.575e+06,7.585e+06,7.62e+06,7.678e+06,7.755e+06,7.841e+06,7.906e+06,7.936e+06,7.948e+06,7.959e+06,7.968e+06,7.977e+06,7.992e+06,8.012e+06,8.042e+06,8.082e+06,8.121e+06,8.172e+06,8.228e+06,8.269e+06,8.295e+06,8.321e+06,8.343e+06,8.363e+06,8.392e+06,8.43e+06,8.479e+06,8.542e+06,8.638e+06
POP,Pers,n/a,Demography,DEMOGR,misc,AZE,Azerbaijan,WDI2017P,HISTORY,3.898e+06,4.03e+06,4.168e+06,4.307e+06,4.446e+06,4.58e+06,4.708e+06,4.832e+06,4.951e+06,5.066e+06,5.178e+06,5.287e+06,5.393e+06,5.496e+06,5.596e+06,5.694e+06,5.789e+06,5.882e+06,5.975e+06,6.069e+06,6.164e+06,6.262e+06,6.362e+06,6.465e+06,6.569e+06,6.674e+06,6.78e+06,6.886e+06,6.994e+06,7.104e+06,7.159e+06,7.271e+06,7.382e+06,7.495e+06,7.597e+06,7.685e+06,7.763e+06,7.838e+06,7.913e+06,7.983e+06,8.049e+06,8.111e+06,8.172e+06,8.234e+06,8.306e+06,8.392e+06,8.485e+06,8.581e+06,8.763e+06,8.947e+06,9.054e+06,9.173e+06,9.296e+06,9.417e+06,9.535e+06,9.649e+06
POP,Pers,n/a,Demography,DEMOGR,misc,BDI,Burundi,WDI2017P,HISTORY,2.787e+06,2.84e+06,2.895e+06,2.951e+06,3.012e+06,3.079e+06,3.154e+06,3.235e+06,3.317e+06,3.393e+06,3.457e+06,3.508e+06,3.547e+06,3.583e+06,3.624e+06,3.677e+06,3.745e+06,3.825e+06,3.918e+06,4.019e+06,4.127e+06,4.24e+06,4.359e+06,4.487e+06,4.625e+06,4.774e+06,4.936e+06,5.109e+06,5.284e+06,5.454e+06,5.613e+06,5.759e+06,5.895e+06,6.02e+06,6.134e+06,6.239e+06,6.333e+06,6.42e+06,6.512e+06,6.624e+06,6.767e+06,6.947e+06,7.16e+06,7.401e+06,7.662e+06,7.934e+06,8.218e+06,8.515e+06,8.822e+06,9.138e+06,9.461e+06,9.79e+06,1.012e+07,1.047e+07,1.082e+07,1.118e+07
POP,Pers,n/a,Demography,DEMOGR,misc,BEL,Belgium,WDI2017P,HISTORY,9.153e+06,9.184e+06,9.221e+06,9.29e+06,9.378e+06,9.464e+06,9.528e+06,9.581e+06,9.619e+06,9.646e+06,9.656e+06,9.673e+06,9.711e+06,9.742e+06,9.772e+06,9.801e+06,9.818e+06,9.83e+06,9.84e+06,9.848e+06,9.859e+06,9.859e+06,9.856e+06,9.856e+06,9.855e+06,9.858e+06,9.862e+06,9.87e+06,9.902e+06,9.938e+06,9.967e+06,1e+07,1.005e+07,1.008e+07,1.012e+07,1.014e+07,1.016e+07,1.018e+07,1.02e+07,1.023e+07,1.025e+07,1.029e+07,1.033e+07,1.038e+07,1.042e+07,1.048e+07,1.055e+07,1.063e+07,1.071e+07,1.08e+07,1.09e+07,1.105e+07,1.113e+07,1.118e+07,1.123e+07,1.125e+07
POP,Pers,n/a,Demography,DEMOGR,misc,BEN,Benin,WDI2017P,HISTORY,2.432e+06,2.466e+06,2.503e+06,2.543e+06,2.586e+06,2.632e+06,2.681e+06,2.733e+06,2.789e+06,2.847e+06,2.908e+06,2.972e+06,3.039e+06,3.11e+06,3.185e+06,3.263e+06,3.346e+06,3.432e+06,3.523e+06,3.619e+06,3.718e+06,3.822e+06,3.931e+06,4.045e+06,4.164e+06,4.287e+06,4.414e+06,4.546e+06,4.685e+06,4.836e+06,5.001e+06,5.183e+06,5.378e+06,5.582e+06,5.787e+06,5.986e+06,6.176e+06,6.361e+06,6.546e+06,6.74e+06,6.949e+06,7.175e+06,7.415e+06,7.666e+06,7.923e+06,8.182e+06,8.444e+06,8.708e+06,8.974e+06,9.241e+06,9.51e+06,9.779e+06,1.005e+07,1.032e+07,1.06e+07,1.088e+07
POP,Pers,n/a,Demography,DEMOGR,misc,BFA,Burkina faso,WDI2017P,HISTORY,4.829e+06,4.895e+06,4.96e+06,5.028e+06,5.099e+06,5.175e+06,5.256e+06,5.343e+06,5.434e+06,5.528e+06,5.625e+06,5.723e+06,5.825e+06,5.93e+06,6.04e+06,6.155e+06,6.274e+06,6.399e+06,6.531e+06,6.672e+06,6.823e+06,6.985e+06,7.158e+06,7.341e+06,7.531e+06,7.728e+06,7.931e+06,8.14e+06,8.356e+06,8.58e+06,8.811e+06,9.05e+06,9.297e+06,9.552e+06,9.817e+06,1.009e+07,1.037e+07,1.067e+07,1.097e+07,1.128e+07,1.161e+07,1.194e+07,1.229e+07,1.265e+07,1.303e+07,1.342e+07,1.383e+07,1.426e+07,1.471e+07,1.517e+07,1.563e+07,1.611e+07,1.659e+07,1.708e+07,1.759e+07,1.811e+07
POP,Pers,n/a,Demography,DEMOGR,misc,BGD,Bangladesh,WDI2017P,HISTORY,4.82e+07,4.959e+07,5.103e+07,5.253e+07,5.413e+07,5.584e+07,5.768e+07,5.963e+07,6.159e+07,6.342e+07,6.505e+07,6.642e+07,6.758e+07,6.866e+07,6.984e+07,7.125e+07,7.293e+07,7.485e+07,7.695e+07,7.914e+07,8.136e+07,8.36e+07,8.587e+07,8.818e+07,9.056e+07,9.302e+07,9.555e+07,9.815e+07,1.008e+08,1.034e+08,1.06e+08,1.085e+08,1.11e+08,1.134e+08,1.159e+08,1.184e+08,1.21e+08,1.236e+08,1.262e+08,1.287e+08,1.313e+08,1.338e+08,1.362e+08,1.386e+08,1.408e+08,1.429e+08,1.448e+08,1.466e+08,1.483e+08,1.499e+08,1.516e+08,1.534e+08,1.553e+08,1.572e+08,1.591e+08,1.61e+08
POP,Pers,n/a,Demography,DEMOGR,misc,BGR,Bulgaria- the republic of,WDI2017P,HISTORY,7.867e+06,7.943e+06,8.013e+06,8.078e+06,8.144e+06,8.204e+06,8.258e+06,8.31e+06,8.37e+06,8.434e+06,8.49e+06,8.536e+06,8.576e+06,8.621e+06,8.679e+06,8.721e+06,8.759e+06,8.804e+06,8.814e+06,8.826e+06,8.862e+06,8.891e+06,8.917e+06,8.94e+06,8.961e+06,8.961e+06,8.958e+06,8.971e+06,8.981e+06,8.877e+06,8.718e+06,8.632e+06,8.54e+06,8.472e+06,8.444e+06,8.406e+06,8.363e+06,8.312e+06,8.257e+06,8.211e+06,8.17e+06,8.009e+06,7.837e+06,7.775e+06,7.717e+06,7.659e+06,7.601e+06,7.545e+06,7.493e+06,7.444e+06,7.396e+06,7.348e+06,7.306e+06,7.265e+06,7.224e+06,7.178e+06
POP,Pers,n/a,Demography,DEMOGR,misc,BHR,Bahrain,WDI2017P,HISTORY,1.625e+05,1.679e+05,1.731e+05,1.78e+05,1.828e+05,1.873e+05,1.918e+05,1.962e+05,2.01e+05,2.065e+05,2.131e+05,2.208e+05,2.296e+05,2.399e+05,2.521e+05,2.667e+05,2.838e+05,3.032e+05,3.235e+05,3.428e+05,3.599e+05,3.741e+05,3.86e+05,3.964e+05,4.072e+05,4.194e+05,4.335e+05,4.49e+05,4.652e+05,4.811e+05,4.959e+05,5.097e+05,5.227e+05,5.357e+05,5.492e+05,5.637e+05,5.799e+05,5.978e+05,6.181e+05,6.409e+05,6.669e+05,6.949e+05,7.254e+05,7.616e+05,8.08e+05,8.67e+05,9.408e+05,1.027e+06,1.116e+06,1.197e+06,1.261e+06,1.306e+06,1.334e+06,1.349e+06,1.362e+06,1.377e+06
POP,Pers,n/a,Demography,DEMOGR,misc,BHS,Bahamas,WDI2017P,HISTORY,1.095e+05,1.151e+05,1.211e+05,1.273e+05,1.337e+05,1.4e+05,1.464e+05,1.526e+05,1.586e+05,1.642e+05,1.694e+05,1.739e+05,1.778e+05,1.815e+05,1.851e+05,1.889e+05,1.929e+05,1.971e+05,2.015e+05,2.06e+05,2.107e+05,2.154e+05,2.203e+05,2.252e+05,2.3e+05,2.347e+05,2.391e+05,2.434e+05,2.476e+05,2.519e+05,2.563e+05,2.611e+05,2.661e+05,2.712e+05,2.759e+05,2.802e+05,2.838e+05,2.87e+05,2.901e+05,2.936e+05,2.979e+05,3.031e+05,3.092e+05,3.158e+05,3.225e+05,3.292e+05,3.358e+05,3.423e+05,3.486e+05,3.548e+05,3.608e+05,3.667e+05,3.724e+05,3.778e+05,3.831e+05,3.88e+05
POP,Pers,n/a,Demography,DEMOGR,misc,BIH,Bosnia and herzegovina,WDI2017P,HISTORY,3.215e+06,3.277e+06,3.342e+06,3.406e+06,3.468e+06,3.525e+06,3.575e+06,3.62e+06,3.662e+06,3.703e+06,3.746e+06,3.791e+06,3.838e+06,3.885e+06,3.93e+06,3.972e+06,4.008e+06,4.042e+06,4.073e+06,4.107e+06,4.145e+06,4.185e+06,4.227e+06,4.271e+06,4.318e+06,4.37e+06,4.428e+06,4.492e+06,4.543e+06,4.559e+06,4.527e+06,4.438e+06,4.301e+06,4.141e+06,3.992e+06,3.879e+06,3.811e+06,3.779e+06,3.776e+06,3.784e+06,3.793e+06,3.8e+06,3.808e+06,3.817e+06,3.826e+06,3.833e+06,3.839e+06,3.84e+06,3.84e+06,3.838e+06,3.835e+06,3.832e+06,3.828e+06,3.824e+06,3.818e+06,3.81e+06
POP,Pers,n/a,Demography,DEMOGR,misc,BLR,Belarus,WDI2017P,HISTORY,8.198e+06,8.271e+06,8.352e+06,8.437e+06,8.524e+06,8.61e+06,8.696e+06,8.786e+06,8.875e+06,8.96e+06,9.04e+06,9.116e+06,9.189e+06,9.257e+06,9.318e+06,9.367e+06,9.411e+06,9.463e+06,9.525e+06,9.584e+06,9.643e+06,9.71e+06,9.776e+06,9.843e+06,9.91e+06,9.975e+06,1.004e+07,1.011e+07,1.014e+07,1.017e+07,1.019e+07,1.019e+07,1.022e+07,1.024e+07,1.023e+07,1.019e+07,1.016e+07,1.012e+07,1.007e+07,1.003e+07,9.98e+06,9.929e+06,9.866e+06,9.797e+06,9.73e+06,9.664e+06,9.605e+06,9.561e+06,9.528e+06,9.507e+06,9.491e+06,9.473e+06,9.464e+06,9.466e+06,9.475e+06,9.49e+06
POP,Pers,n/a,Demography,DEMOGR,misc,BLZ,Belize,WDI2017P,HISTORY,9.207e+04,9.47e+04,9.739e+04,1.002e+05,1.031e+05,1.061e+05,1.093e+05,1.127e+05,1.161e+05,1.193e+05,1.222e+05,1.248e+05,1.271e+05,1.293e+05,1.313e+05,1.333e+05,1.351e+05,1.37e+05,1.39e+05,1.413e+05,1.442e+05,1.476e+05,1.515e+05,1.558e+05,1.603e+05,1.649e+05,1.696e+05,1.743e+05,1.79e+05,1.835e+05,1.876e+05,1.911e+05,1.943e+05,1.976e+05,2.017e+05,2.07e+05,2.137e+05,2.216e+05,2.303e+05,2.39e+05,2.473e+05,2.55e+05,2.622e+05,2.691e+05,2.761e+05,2.833e+05,2.908e+05,2.984e+05,3.062e+05,3.139e+05,3.216e+05,3.292e+05,3.367e+05,3.442e+05,3.517e+05,3.593e+05
