"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","ARG","ARGENTINA","CH4",4.549,4.8543,5.0537,5.3905,5.7816,6.1817,6.791,7.1334,7.3073,7.5688,7.7231,7.8944,7.573,8.088,8.2536,8.1965,8.2999,8.3128,8.2981,7.8438,7.6943,7.668,7.4878,7.283,7.2933,7.5415,7.5017,,
"IPC1","Energy","MtCO2eq","BRA","BRAZIL","CH4",11.4618,11.5185,11.2455,10.4832,10.3887,9.9456,9.7503,10.0737,10.2501,10.4706,10.7478,11.4009,12.0099,11.9427,12.7092,14.3808,13.6059,13.3266,13.4274,14.4123,13.6411,13.399,13.6333,14.7862,15.0565,15.3268,15.5971,,
"IPC1","Energy","MtCO2eq","CAN","CANADA","CH4",38.2822,39.2751,41.9095,44.134,46.1788,48.385,51.1099,52.4881,53.2748,52.7044,52.1121,50.2844,48.0925,46.8511,46.1157,44.2754,44.1822,43.8919,43.1849,40.6065,40.1619,40.8194,42.9729,44.5013,46.8387,45.2907,41.7885,,
"IPC1","Energy","MtCO2eq","CHN","CHINA","CH4",193.81,190.9033,188.7789,191.4116,196.791,217.5481,215.4819,209.9341,201.7595,197.4525,205.4477,217.0466,226.7037,259.9614,295.2205,324.0048,366.9166,393.151,419.6243,448.1264,489.3727,549.8596,579.285,574.0117,602.6471,631.2825,659.9178,,
"IPC1","Energy","MtCO2eq","ETH","ETHIOPIA","CH4",4.9583,5.1536,5.2795,5.498,6.602,7.2232,7.2747,20.2687,20.5151,20.8914,21.2672,21.581,21.8968,22.2142,25.5896,13.0445,14.1389,14.8826,15.8651,16.7821,18.0786,22.0777,21.548,21.5816,18.0248,17.8361,17.6473,,
"IPC1","Energy","MtCO2eq","EU28","European Union (28)","CH4",163.1552,154.3995,147.7518,145.4305,134.3893,133.4127,130.5111,124.3467,115.9025,111.7713,107.1506,107.2998,101.7043,99.9317,94.2126,91.2247,87.3262,83.8956,84.0811,80.1492,81.1554,78.7114,79.5019,76.8647,73.4939,73.6276,71.5713,,
"IPC1","Energy","MtCO2eq","IND","INDIA","CH4",54.9999,57.7848,58.7677,59.3533,60.816,62.4506,62.4681,63.7061,62.0173,62.899,62.8198,60.2006,58.6209,56.5349,54.7873,52.6628,50.7591,48.9768,47.7581,53.3797,53.2203,52.7271,50.6158,48.8549,50.4592,52.0635,53.6679,,
"IPC1","Energy","MtCO2eq","MAR","MOROCCO","CH4",1.9887,1.9205,1.9289,1.9172,1.9526,1.8986,1.8575,1.919,1.9217,2.0236,2.0381,2.0854,2.101,2.3578,2.8475,3.2832,3.4773,3.7031,3.6684,3.7216,3.9319,4.0091,4.012,4.4644,4.6478,4.8312,5.0146,,
"IPC1","Energy","MtCO2eq","MEX","MEXICO","CH4",18.5109,18.8252,18.6092,19.316,19.4453,20.3167,24.8789,28.0339,29.3215,26.3863,27.0476,25.4973,24.6246,25.9916,24.7788,25.3216,26.7126,30.564,41.3076,38.7251,33.9243,32.263,28.1053,34.3763,35.0019,35.6275,36.2531,,
"IPC1","Energy","MtCO2eq","PER","PERU","CH4",1.2371,1.1864,1.1639,1.1405,1.1168,1.0992,1.0725,1.0962,1.076,1.034,1.003,0.93991,0.92191,0.93211,0.92767,0.96175,0.94374,1.0148,1.0704,1.2641,1.8445,2.2991,2.208,1.8905,2.0141,2.1377,2.2612,,
"IPC1","Energy","MtCO2eq","SAU","SAUDI ARABIA","CH4",48.1208,46.4612,41.6762,35.4145,49.5001,46.568,47.2347,47.6563,44.9379,40.7438,43.2849,43.0836,42.7014,49.6702,47.7991,51.4163,52.7009,52.307,55.2854,51.3221,53.2512,56.8423,59.3905,59.0345,60.2077,61.3809,62.5541,,
"IPC1","Energy","MtCO2eq","VNM","VIET NAM","CH4",3.112,3.2355,3.3022,3.5278,3.5127,4.1385,4.6747,4.9247,5.4219,6.5906,6.4798,7.0851,7.5888,8.6597,11.3637,12.5985,12.8261,13.4526,13.5715,15.2079,15.9585,17.1904,18.4222,19.6541,20.2153,21.1868,22.1583,,
"IPC3","AFOLU","MtCO2eq","ARG","ARGENTINA","CH4",62.5223,63.219,64.0569,64.9209,65.6481,64.421,63.9726,62.5808,61.5666,61.231,65.0196,67.2219,71.0867,75.8354,78.2309,79.2709,81.2559,82.2123,79.9748,77.2959,57.0524,57.3518,59.1721,59.1917,50.0435,51.0517,53.424,,
"IPC3","AFOLU","MtCO2eq","BRA","BRAZIL","CH4",214.7691,219.1014,226.6383,228.9777,232.6443,272.0319,246.9264,242.445,250.9122,253.911,261.0531,268.926,282.3072,326.8755,343.2366,327.5076,312.0243,294.6615,302.3391,281.1375,284.5731,282.5385,283.2123,260.697,267.9502,272.3801,266.5741,,
"IPC3","AFOLU","MtCO2eq","CAN","CANADA","CH4",22.41,22.8484,24.3524,24.2986,25.5525,26.5178,26.9562,26.824,27.0485,27.3219,28.0517,28.6822,28.8864,29.2272,29.972,30.6812,30.0136,28.5008,27.6384,26.0772,25.1681,24.7835,25.4511,25.7798,24.941,25.1458,25.3902,,
"IPC3","AFOLU","MtCO2eq","CHN","CHINA","CH4",349.3776,354.3918,354.8693,353.2193,361.745,397.4199,435.9173,406.6985,442.9761,466.7346,481.94,482.9851,483.9541,487.6469,511.25,528.8217,520.6365,500.5263,502.1783,499.116,498.7398,490.1047,480.9055,482.5344,484.3011,487.8601,492.1338,,
"IPC3","AFOLU","MtCO2eq","ETH","ETHIOPIA","CH4",29.4052,29.5532,30.2683,26.9471,27.1249,27.2938,28.4904,32.4868,33.2263,33.3418,30.343,30.4796,35.5652,35.7314,36.4368,37.3901,38.4507,42.8961,43.7189,44.7194,46.5414,45.3016,47.6918,48.0723,49.4565,50.2081,51.6489,,
"IPC3","AFOLU","MtCO2eq","EU28","European Union (28)","CH4",260.9083,248.4901,240.0031,234.6187,233.3458,231.6973,230.6293,227.855,226.2356,223.2473,221.1479,217.3048,213.8071,214.225,210.5823,209.5951,207.5244,210.2424,206.28,205.7011,201.9883,200.7388,200.5476,199.3803,201.5752,203.7087,204.2484,,
"IPC3","AFOLU","MtCO2eq","IND","INDIA","CH4",290.8513,293.1239,294.4366,296.9505,297.8115,299.3331,302.174,303.2213,306.4513,307.7922,307.457,307.1499,299.7296,301.7443,302.9422,308.5811,311.1952,315.645,317.1203,309.5124,310.0818,309.8724,308.5032,310.2133,310.4173,309.3512,310.3119,,
"IPC3","AFOLU","MtCO2eq","MAR","MOROCCO","CH4",4.8497,4.6658,4.5122,3.8776,4.0327,4.0517,4.1725,4.398,4.3239,4.4767,4.6527,4.701,4.5796,4.6646,4.7515,4.7427,4.8423,4.7887,4.8434,4.8411,4.9896,5.3252,5.3711,5.4959,5.6092,5.6005,5.6732,,
"IPC3","AFOLU","MtCO2eq","MEX","MEXICO","CH4",40.3758,41.9431,40.8645,40.0203,39.9251,39.3204,38.8456,39.0283,40.6701,38.4314,39.677,38.5926,40.4746,40.8595,40.1392,40.1436,40.4141,40.5087,41.0002,41.6812,41.5988,43.6884,41.0307,42.1088,41.4371,43.1407,43.6664,,
"IPC3","AFOLU","MtCO2eq","PER","PERU","CH4",9.6085,9.3157,9.2771,9.341,13.5498,13.2974,13.0356,12.7179,12.5689,12.8574,12.411,12.5517,12.9531,13.1791,13.1384,13.9489,13.9305,14.2275,14.5619,14.9133,15.0747,15.5889,16.158,12.7804,12.6656,12.8184,14.3333,,
"IPC3","AFOLU","MtCO2eq","SAU","SAUDI ARABIA","CH4",1.8479,1.9116,1.9758,1.9957,2.0349,2.0196,2.0262,2.0225,1.9495,1.8291,1.8835,1.8799,1.8618,1.85,1.9539,1.9588,1.842,1.8178,1.6028,1.41,1.5553,1.7,1.7363,1.8616,1.8549,1.8446,1.7236,,
"IPC3","AFOLU","MtCO2eq","VNM","VIET NAM","CH4",40.5455,41.9162,43.1403,43.9549,47.7308,48.6177,49.8448,50.2357,51.4775,52.9945,53.0057,52.403,53.2346,54.0005,55.1644,55.684,56.9234,56.9183,57.9029,58.4032,58.9205,55.8131,52.5954,49.7549,50.0053,50.2146,49.8276,,
"IPC4","Waste","MtCO2eq","ARG","ARGENTINA","CH4",7.3899,7.6569,7.8708,8.1771,8.4451,8.8456,9.1827,9.5301,9.7906,10.1959,10.4265,10.9317,11.2016,11.6442,12.0457,12.436,12.7778,12.8562,12.7479,12.5135,12.7731,12.8693,12.8357,12.873,11.0418,13.0268,13.1387,,
"IPC4","Waste","MtCO2eq","BRA","BRAZIL","CH4",24.6477,25.6179,26.6784,27.5982,28.5852,29.7927,30.8826,32.13,33.3291,35.3598,36.8382,37.7874,39.6312,42.0462,42.3864,43.302,45.7548,47.0757,47.8254,49.056,51.7167,52.3704,54.5034,55.5825,57.0388,58.4951,59.9513,,
"IPC4","Waste","MtCO2eq","CAN","CANADA","CH4",14.5301,14.7923,14.9494,15.069,15.1051,15.0721,15.0169,15.2189,15.4445,15.6826,15.6392,15.5784,15.8506,16.1161,16.3754,16.6103,16.8961,16.5774,15.4729,15.249,14.4914,14.4684,14.2409,14.2859,14.0596,14.3353,14.4083,,
"IPC4","Waste","MtCO2eq","CHN","CHINA","CH4",149.5775,152.6772,155.822,158.971,162.12,154.6604,146.1662,139.288,131.6654,124.0796,116.2427,109.1219,101.8431,94.5604,87.4358,80.304,85.7533,90.3529,94.8333,96.8798,104.0666,109.5467,113.883,92.6288,91.3694,90.1099,88.8505,,
"IPC4","Waste","MtCO2eq","ETH","ETHIOPIA","CH4",0.924,0.903,0.924,0.945,0.98304,1.1129,1.2333,1.3622,1.5067,1.6399,1.8635,1.8852,2.0097,2.1228,2.2266,2.3521,2.7174,2.8913,3.2702,3.5861,3.8774,4.3186,4.6579,4.8566,4.8356,5.0711,5.3066,,
"IPC4","Waste","MtCO2eq","EU28","European Union (28)","CH4",186.1075,189.5714,191.4925,192.6862,192.6464,193.7017,193.128,191.3413,188.6611,184.3473,181.5181,178.0249,174.6892,169.6279,162.9027,156.6659,151.4742,145.9302,138.8467,134.0142,127.7938,123.4162,119.9551,114.0472,109.2054,106.9851,104.8826,,
"IPC4","Waste","MtCO2eq","IND","INDIA","CH4",19.2472,19.691,20.1651,20.6132,21.063,25.645,30.1869,34.7765,39.39,44.0078,48.451,48.7335,49.0508,49.4183,49.7837,50.147,50.6169,50.896,51.0988,51.2296,51.5151,52.4225,53.3224,54.5747,55.2291,55.8836,56.5381,,
"IPC4","Waste","MtCO2eq","MAR","MOROCCO","CH4",1.8004,1.8355,1.8912,1.9282,1.974,2.053,2.116,2.1968,2.2586,2.3296,2.4003,2.7513,3.118,3.4961,3.8728,4.2525,4.6218,5.0655,5.4308,5.792,6.2262,6.6489,7.0707,7.262,7.6252,7.9885,8.3518,,
"IPC4","Waste","MtCO2eq","MEX","MEXICO","CH4",5.9719,6.5049,7.0267,11.9209,12.4772,12.9849,13.433,13.3575,13.301,13.9567,14.7744,15.2305,15.8839,16.4685,17.2554,18.3972,20.2975,21.5537,22.8594,23.7317,24.9429,26.4473,26.5118,27.6238,28.6467,29.6695,30.6924,,
"IPC4","Waste","MtCO2eq","PER","PERU","CH4",2.2489,2.286,2.3243,2.3749,2.3642,3.1196,3.8816,4.6254,5.364,6.1268,6.86,6.9673,7.1104,7.2188,7.2983,7.4103,7.5458,7.7238,6.8919,7.0165,7.1482,7.1978,7.248,7.6329,7.711,7.789,7.8671,,
"IPC4","Waste","MtCO2eq","SAU","SAUDI ARABIA","CH4",12.6385,13.0888,13.6864,14.2336,14.8306,15.2795,15.7387,16.1846,16.7817,17.1816,18.1755,19.0435,19.2177,19.4061,19.8377,20.1776,20.5315,20.9825,21.4493,22.1841,22.8647,23.4265,24.0261,24.2018,24.683,25.1642,25.6454,,
"IPC4","Waste","MtCO2eq","VNM","VIET NAM","CH4",1.2959,1.3317,1.3677,1.4007,1.4304,2.3515,3.2593,4.1647,5.0411,6.0565,6.9611,7.5899,8.2157,8.8398,9.5314,10.2104,10.7403,11.4037,12.0739,12.7464,13.4487,14.1442,14.8397,15.5352,16.1174,16.7793,17.4412,,
"IPC5","Other","MtCO2eq","CHN","CHINA","CH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"IPC5","Other","MtCO2eq","IND","INDIA","CH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"IPCMAG","Agriculture","MtCO2eq","ARG","ARGENTINA","CH4",62.0063,62.6913,63.5175,64.3699,65.0854,63.6491,62.9913,61.3902,60.5783,60.4449,64.4358,66.0696,69.3659,73.5461,75.3731,75.8446,77.2611,77.6491,74.8431,71.5957,50.7837,51.8392,54.4156,55.8642,48.258,47.5393,48.501,,
"IPCMAG","Agriculture","MtCO2eq","BRA","BRAZIL","CH4",192.8976,198.9561,202.419,203.3073,207.1671,211.2222,204.5862,207.6459,209.2419,212.3499,218.0283,225.9096,233.5473,245.0028,256.1097,259.5117,258.153,245.8491,251.0634,255.4902,260.7276,259.2758,260.5323,257.0271,259.5433,262.2327,264.7886,,
"IPCMAG","Agriculture","MtCO2eq","CAN","CANADA","CH4",21.2665,21.6877,22.6947,23.0672,24.0363,25.316,25.6599,25.6339,25.7891,25.9707,26.5409,27.3329,27.4734,27.7308,28.637,29.3594,28.5846,27.5686,26.728,25.2891,24.3723,23.8239,23.8648,23.9471,23.8743,23.8274,24.0665,,
"IPCMAG","Agriculture","MtCO2eq","CHN","CHINA","CH4",348.7486,353.7627,354.2403,352.5902,361.116,396.7909,435.1855,405.9638,442.0964,465.9469,481.0471,482.3916,483.7305,485.7439,510.6609,528.549,520.0667,499.9846,501.0058,498.5952,498.3353,489.8555,480.606,482.3102,483.7883,487.3833,491.8223,,
"IPCMAG","Agriculture","MtCO2eq","ETH","ETHIOPIA","CH4",27.3031,27.4511,28.1662,24.8456,25.0235,25.1924,26.3025,29.5855,29.7322,29.2356,27.4785,29.2148,33.9261,33.0518,33.62,35.599,36.4825,41.5115,41.9549,43.2307,45.3463,44.2062,45.7468,46.0707,47.6586,48.5649,50.0782,,
"IPCMAG","Agriculture","MtCO2eq","EU28","European Union (28)","CH4",254.8656,242.9646,234.6656,228.5746,225.5269,224.421,224.1366,221.3982,219.4769,217.7066,214.7923,211.8726,208.787,208.1441,205.5689,204.1478,202.762,204.1369,201.8092,200.9751,197.3526,196.1619,195.1661,195.1492,197.417,199.4118,199.5494,,
"IPCMAG","Agriculture","MtCO2eq","IND","INDIA","CH4",289.781,292.0536,293.3663,295.8801,297.675,297.2855,298.2155,297.3517,298.6706,298.1006,295.8543,296.3861,289.8048,292.6584,294.6952,301.173,304.626,309.9148,312.229,305.46,306.8684,309.1477,307.0025,309.1205,309.1897,308.1358,310.3119,,
"IPCMAG","Agriculture","MtCO2eq","MAR","MOROCCO","CH4",4.8489,4.6651,4.5114,3.8769,4.032,4.051,4.1715,4.3975,4.3233,4.4754,4.6526,4.701,4.5796,4.6646,4.7513,4.7416,4.8363,4.7886,4.8432,4.8411,4.9896,5.3251,5.3697,5.4959,5.6087,5.5995,5.6726,,
"IPCMAG","Agriculture","MtCO2eq","MEX","MEXICO","CH4",39.6467,41.214,40.1353,39.2912,39.196,38.5913,38.2357,38.7758,38.9644,37.9156,39.1636,38.3447,40.0331,40.125,39.9781,39.5854,39.8603,40.1723,40.4939,40.9862,41.3449,41.4577,40.4637,40.9717,41.3606,42.2134,42.7242,,
"IPCMAG","Agriculture","MtCO2eq","PER","PERU","CH4",9.4862,9.1934,9.1548,9.2188,9.9007,10.213,10.5158,10.7628,11.1785,12.0317,12.15,12.0964,12.3034,12.3351,12.1001,12.7162,12.5034,12.6062,12.7462,12.9033,12.8704,12.7582,12.701,12.6658,12.6019,12.6822,12.8061,,
"IPCMAG","Agriculture","MtCO2eq","SAU","SAUDI ARABIA","CH4",1.8479,1.9116,1.9758,1.9957,2.0349,2.0196,2.0262,2.0225,1.9495,1.8291,1.8835,1.8799,1.8618,1.85,1.9539,1.9588,1.842,1.8178,1.6028,1.41,1.5553,1.7,1.7363,1.8616,1.8549,1.8446,1.7236,,
