variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CH4,MtCO2eq,AR4,Other,CAT7,ipcc1996,CHE,Switzerland,UNFCCC1996DATA,HISTORY,0.00066,0.0006514,0.0006428,0.0006329,0.0006243,0.0006156,0.000607,0.0005992,0.0005439,0.000599,0.0006202,0.0006602,0.0006188,0.0006714,0.0006653,0.0006507,0.0006024,0.0006641,0.0006247,0.00061,0.0005986,0.0006433,0.0006731,0.0006922,0.0005614,0.000605,0.0005934,NaN
CO2,MtCO2eq,AR4,Other,CAT7,ipcc1996,CHE,Switzerland,UNFCCC1996DATA,HISTORY,0.01096,0.01098,0.01099,0.01099,0.01099,0.01098,0.01098,0.01098,0.01005,0.01126,0.01182,0.0126,0.01177,0.01281,0.01268,0.01237,0.0114,0.01262,0.01183,0.01153,0.01129,0.01218,0.01275,0.01312,0.0105,0.01135,0.01111,NaN
KYOTOGHGAR4,MtCO2eq,AR4,Other,CAT7,ipcc1996,CHE,Switzerland,UNFCCC1996DATA,HISTORY,0.01222,0.01222,0.01221,0.01219,0.01217,0.01215,0.01212,0.0121,0.01107,0.01238,0.01299,0.01385,0.01292,0.01407,0.01392,0.01359,0.01252,0.01386,0.013,0.01266,0.0124,0.01337,0.01401,0.01441,0.01153,0.01246,0.0122,NaN
N2O,MtCO2eq,AR4,Other,CAT7,ipcc1996,CHE,Switzerland,UNFCCC1996DATA,HISTORY,0.000596,0.0005862,0.0005764,0.0005666,0.0005568,0.000547,0.0005371,0.0005281,0.000472,0.0005243,0.000544,0.0005813,0.0005389,0.00059,0.0005827,0.0005669,0.0005177,0.0005777,0.0005386,0.0005227,0.0005102,0.0005534,0.0005804,0.0005982,0.000467,0.0005078,0.0004951,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,CHE,Switzerland,UNFCCC1996DATA,HISTORY,1.88e-06,1.758e-06,1.566e-06,1.458e-06,1.301e-06,1.265e-06,1.311e-06,1.35e-06,1.421e-06,1.502e-06,1.51e-06,1.473e-06,1.443e-06,1.201e-06,1.137e-06,1.114e-06,1.048e-06,1.008e-06,9.668e-07,8.821e-07,8.778e-07,8.434e-07,8.226e-07,7.809e-07,6.944e-07,6.493e-07,6.542e-07,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,DNK,Denmark,UNFCCC1996DATA,HISTORY,2.252e-05,2.611e-05,2.906e-05,2.813e-05,3.369e-05,2.751e-05,2.585e-05,2.628e-05,4.156e-05,4.918e-05,5.121e-05,4.942e-05,7.36e-05,7.393e-05,7.712e-05,0.0001042,8.845e-05,9.714e-05,8.122e-05,7.799e-05,0.0001064,9.498e-05,8.534e-05,8.925e-05,8.611e-05,7.543e-05,6.852e-05,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,EU28,European union (28),UNFCCC1996DATA,HISTORY,0.003533,0.003454,0.00347,0.003292,0.003163,0.002885,0.002687,0.002483,0.002331,0.002199,0.002116,0.001965,0.001816,0.001624,0.001477,0.001337,0.0012,0.001116,0.0009766,0.0008611,0.0008521,0.0007992,0.0007514,0.0007567,0.0007171,0.0007064,0.0006915,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,FIN,Finland,UNFCCC1996DATA,HISTORY,0.000283,0.0002268,0.0002302,0.0002278,0.0002508,0.000243,0.0002158,0.0001943,0.0001888,0.0001818,0.0001758,0.0001825,0.0001772,0.0001405,0.0001283,0.000117,0.0001285,0.0001475,0.0001368,0.0001045,7.875e-05,7.825e-05,8.1e-05,9.9e-05,8.3e-05,0.0001012,0.0001005,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,FRA,France,UNFCCC1996DATA,HISTORY,0.003075,0.003047,0.003055,0.00288,0.002722,0.002457,0.002287,0.002104,0.00194,0.001807,0.001646,0.001488,0.001318,0.001162,0.001022,0.0008664,0.0007335,0.0006206,0.0005071,0.0004258,0.0003666,0.0003242,0.0002822,0.0002647,0.0002431,0.0002237,0.0002147,NaN
CH4,MtCO2eq,AR4,SolventAndOtherProductUse,CAT3,ipcc1996,MCO,Monaco,UNFCCC1996DATA,HISTORY,3.478e-07,3.975e-07,4.555e-07,4.232e-07,4.518e-07,4.374e-07,4.342e-07,4.088e-07,4.001e-07,4.111e-07,3.861e-07,3.751e-07,3.818e-07,3.59e-07,3.431e-07,3.19e-07,3.238e-07,3.221e-07,2.98e-07,2.52e-07,2.054e-07,2.162e-07,2.328e-07,2.323e-07,2.2e-07,2.076e-07,2.056e-07,NaN
