"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"CAT3","SolventAndOtherProductUse","MtCO2eq","CHE","SWITZERLAND","CH4",1.579e-06,1.4767e-06,1.3151e-06,1.2251e-06,1.093e-06,1.063e-06,1.1009e-06,1.134e-06,1.194e-06,1.2615e-06,1.2686e-06,1.2372e-06,1.2119e-06,1.0088e-06,9.5482e-07,9.3583e-07,8.8001e-07,8.4672e-07,8.1209e-07,7.4099e-07,7.3734e-07,7.0848e-07,6.91e-07,6.5596e-07,5.8328e-07,5.4541e-07,5.4956e-07,NaN,
"CAT3","SolventAndOtherProductUse","MtCO2eq","DNK","DENMARK","CH4",1.8915e-05,2.1936e-05,2.4412e-05,2.3632e-05,2.8299e-05,2.311e-05,2.1712e-05,2.2073e-05,3.4913e-05,4.1311e-05,4.3013e-05,4.1514e-05,6.1828e-05,6.2103e-05,6.4785e-05,8.7495e-05,7.43e-05,8.1595e-05,6.8221e-05,6.5507e-05,8.9352e-05,7.9784e-05,7.1688e-05,7.4968e-05,7.2333e-05,6.3362e-05,5.7554e-05,NaN,
"CAT3","SolventAndOtherProductUse","MtCO2eq","FIN","FINLAND","CH4",0.00023772,0.00019047,0.00019341,0.00019131,0.00021063,0.00020412,0.00018123,0.00016317,0.00015855,0.00015267,0.00014763,0.0001533,0.00014889,0.00011802,0.00010773,9.828e-05,0.00010794,0.0001239,0.00011487,8.778e-05,6.615e-05,6.573e-05,6.804e-05,8.316e-05,6.972e-05,8.505e-05,8.442e-05,NaN,
"CAT3","SolventAndOtherProductUse","MtCO2eq","FRA","FRANCE","CH4",0.0025831,0.0025598,0.0025665,0.0024196,0.0022863,0.0020638,0.0019214,0.0017671,0.0016298,0.001518,0.0013826,0.00125,0.0011074,0.0009758,0.00085871,0.00072781,0.00061611,0.00052128,0.000426,0.00035767,0.00030796,0.00027234,0.00023706,0.00022235,0.00020421,0.00018791,0.00018031,NaN,
"CAT3","SolventAndOtherProductUse","MtCO2eq","MCO","MONACO","CH4",2.9218e-07,3.3388e-07,3.8259e-07,3.5547e-07,3.7952e-07,3.674e-07,3.647e-07,3.4343e-07,3.3605e-07,3.4533e-07,3.2434e-07,3.1507e-07,3.2069e-07,3.0153e-07,2.8817e-07,2.68e-07,2.7197e-07,2.7055e-07,2.5034e-07,2.117e-07,1.7251e-07,1.816e-07,1.9557e-07,1.9513e-07,1.848e-07,1.7438e-07,1.7267e-07,NaN,
"CAT3","SolventAndOtherProductUse","MtCO2eq","NLD","NETHERLANDS, THE KINGDOM OF THE","CH4",0.00012807,0.00012911,0.00013008,0.00013104,0.00013181,0.00013248,0.00013301,0.00013374,0.00013452,0.00013545,0.00020462,0.00020618,0.00020751,0.00020852,0.00020919,0.0002097,0.00021001,0.0002105,0.00021127,0.00021238,0.00025229,0.00025351,0.00025439,0.00025511,0.00025611,0.00025707,0.00025861,NaN,
"CAT7","Other","MtCO2eq","CHE","SWITZERLAND","CH4",0.0005544,0.00054716,0.00053991,0.00053162,0.00052437,0.00051713,0.00050988,0.00050331,0.00045692,0.00050318,0.00052093,0.00055459,0.00051979,0.000564,0.00055887,0.00054657,0.00050604,0.00055787,0.00052473,0.00051236,0.00050282,0.00054041,0.00056538,0.00058143,0.0004716,0.00050816,0.00049843,NaN,
"CAT4","Agriculture","MtCO2eq","AUS","AUSTRALIA","CO2",0.58201,0.6349,0.68981,0.76703,0.86878,0.9194,0.94555,1.1537,1.3287,1.5129,1.7011,1.8186,1.9304,1.9259,2.0351,1.9635,1.8297,1.8158,1.8304,1.9432,2.1891,2.2006,2.0451,2.0381,2.4909,2.533,2.6633,NaN,
"CAT4","Agriculture","MtCO2eq","AUT","AUSTRIA","CO2",0.094423,0.09729,0.097255,0.096601,0.097984,0.099801,0.10019,0.10076,0.10157,0.10128,0.098559,0.095742,0.096189,0.098717,0.10201,0.10295,0.10476,0.10697,0.10489,0.11001,0.10724,0.1056,0.10842,0.10786,0.11143,0.11198,0.11619,NaN,
"CAT4","Agriculture","MtCO2eq","BEL","BELGIUM","CO2",0.17893,0.17733,0.17599,0.17423,0.17629,0.17837,0.17863,0.17783,0.17689,0.176,0.17298,0.16921,0.16962,0.1667,0.16644,0.16585,0.16566,0.16442,0.16183,0.16676,0.16812,0.16787,0.16922,0.17346,0.1764,0.1756,0.17476,NaN,
