"categoryCode","categoryName","Unit","CountryISO","CountryNames","Entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC5","Other","MtCO2eq","CHE","SWITZERLAND","CH4",0.0005544,0.00054716,0.00053991,0.00053162,0.00052437,0.00051713,0.00050988,0.00050331,0.00045692,0.00050318,0.00052093,0.00055459,0.00051979,0.000564,0.00055887,0.00054657,0.00050604,0.00055787,0.00052473,0.00051236,0.00050282,0.00054041,0.00056538,0.00058143,0.0004716,0.00050816,0.00049843,NaN,
"IPC5","Other","MtCO2eq","CHE","SWITZERLAND","CO2",0.01096,0.01098,0.010993,0.010986,0.010989,0.010985,0.010976,0.010976,0.01005,0.011256,0.011823,0.012604,0.011766,0.012809,0.012677,0.012374,0.011399,0.012623,0.011834,0.011529,0.011292,0.012177,0.012752,0.013123,0.010499,0.011349,0.011107,NaN,
"IPC5","Other","MtCO2eq","CHE","SWITZERLAND","N2O",0.00062,0.0006098,0.00059959,0.00058939,0.00057918,0.00056898,0.00055878,0.0005494,0.00049104,0.00054537,0.00056591,0.00060473,0.00056063,0.00061372,0.00060613,0.0005897,0.00053855,0.00060101,0.00056025,0.00054374,0.00053072,0.00057567,0.0006038,0.00062225,0.00048585,0.00052824,0.00051499,NaN,
"IPC5","Other","MtCO2eq","CHE","SWITZERLAND","KYOTOGHGAR4",0.012216,0.012217,0.012212,0.012186,0.01217,0.012147,0.01212,0.012103,0.011066,0.012379,0.012987,0.013846,0.012924,0.01407,0.013924,0.013591,0.012519,0.013864,0.012997,0.012662,0.012401,0.013374,0.014005,0.014414,0.011527,0.012462,0.012196,NaN,
"IPC1","Energy","MtCO2eq","ALB","ALBANIA","CH4",0.17199,0.23625,0.23541,0.23184,0.14154,0.03591,0.12663,0.11151,0.10542,0.09219,0.099227,0.099668,0.10326,0.10769,0.11401,0.09681,0.113,0.11449,0.11556,0.11559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","AND","ANDORRA","CH4",0.001974,NaN,NaN,NaN,NaN,0.002142,NaN,NaN,NaN,NaN,0.002289,NaN,NaN,NaN,NaN,0.002079,NaN,NaN,NaN,NaN,0.001764,0.00168,0.001638,0.00168,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","ANNEXI","Annex I","CH4",1248.2747,1180.9777,1111.7519,1048.5198,990.5324,966.9762,957.2733,949.6493,929.1333,924.934,927.8607,944.812,942.3014,978.5166,1002.4517,1007.5189,1019.0387,1021.4929,1028.7149,997.6277,1018.1556,1018.0586,1014.9476,1014.8526,1010.8518,1002.7403,1009.2231,NaN,
"IPC1","Energy","MtCO2eq","ARE","UNITED ARAB EMIRATES","CH4",NaN,NaN,NaN,NaN,8.316,NaN,NaN,NaN,NaN,NaN,16.737,NaN,NaN,NaN,NaN,21.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","ARG","ARGENTINA","CH4",3.3361,3.6562,3.7545,3.8244,4.0004,3.8712,4.2002,4.3198,4.4817,4.5419,4.664,4.3341,4.0946,4.3426,4.7463,4.9521,5.2649,5.6836,5.8003,5.6619,5.8716,6.1473,6.1142,6.244,6.2026,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","ARM","ARMENIA","CH4",1.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50562,NaN,NaN,NaN,NaN,NaN,0.62427,NaN,NaN,NaN,0.74846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
