variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;Afghanistan;Quad Btu;0.007959119;0.007281867;0.007646914;0.008103866;0.008221515;0.008190127;0.008111199;0.008065158;0.008220787;0.007364539;0.008320341;0.007438198;0.005281766;0.005068733;0.005081109;0.005348473;0.003860219;0.003673388;0.003039555;0.003027437;0.003178062;0.00591449;0.006109509;0.00776928;0.007413669;0.007995961;0.009428278;0.010254709;0.007526483;0.012348795;0.013538529;0.013050802;0.017607649;0.020017682;0.021619521;0.023682696;0.025484871;-
Nuclear, Renewables, and Other;Albania;Quad Btu;0.028951717;0.029574153;0.031595224;0.030948897;0.031934573;0.033008132;0.033440871;0.039034825;0.036993769;0.039702854;0.030112915;0.033504808;0.031299817;0.032912066;0.038238214;0.04356612;0.057350638;0.05095934;0.051849074;0.056460451;0.050045901;0.042937299;0.043659177;0.055527825;0.056159411;0.05547889;0.050559408;0.037947871;0.045885187;0.056312723;0.071539694;0.050085449;0.055620137;0.069903128;0.054906608;0.060006991;0.06529268;-
Nuclear, Renewables, and Other;Algeria;Quad Btu;0.00202136;0.00379661;0.004565984;0.002894666;0.006494298;0.00713438;0.002661264;0.005639374;0.002947634;0.00221525;0.001354841;0.000444964;(s);(s);(s);0.001074909;0.001272942;0.002513696;0.002050206;0.002468079;0.002246842;0.002921943;0.002388143;0.003937049;0.00471688;0.008422297;0.005305772;0.007107806;0.00692524;0.009379231;0.010603904;0.018068068;0.01970028;0.012129965;0.009894547;0.009096526;0.007811325;-
Nuclear, Renewables, and Other;American Samoa;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);0.000210538;0.000210538;0.000445519;0.000216196;3.58E-06;(s);(s);3.58E-06;3.58E-06;3.59E-06;(s);(s);(s);(s);(s);0.000463481;(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);(s);-
Nuclear, Renewables, and Other;Angola;Quad Btu;0.005138042;0.005753691;0.006742403;0.005876011;0.005828;0.0058792;0.006853256;0.006135479;0.006495249;0.006983449;0.007608634;0.007441112;0.008668242;0.009123161;0.009101856;0.008994519;0.00961172;0.008916459;0.011527679;0.008348783;0.009717366;0.010223226;0.011113413;0.012170629;0.017220993;0.021857304;0.026775405;0.023996338;0.030374466;0.029724455;0.035553859;0.038647984;0.03571138;0.044773298;0.047514011;0.048014759;0.054847771;-
Nuclear, Renewables, and Other;Antarctica;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);(s);(s);(s);(s);(s);0.000189188;0.000197925;0.000189188;0.000189188;0.000189188;0.000172179;0.000259088;0.000259088;0.000259088;0.000302542;0.00032254;0.00032238;0.000365764;0.000168117;0.000229959;0.000229943;0.000229783;0.000196199;0.00019569;0.000195674;0.000200238;0.000212286;-
Nuclear, Renewables, and Other;Antigua and Barbuda;Quad Btu;0;0;0;0;0;0;(s);(s);(s);(s);(s);(s);(s);(s);0.000367219;(s);(s);(s);(s);(s);0.000289302;0.000289302;(s);0.000213775;(s);(s);(s);0.000342398;(s);1.30E-05;(s);(s);(s);(s);0.000145155;0.000383474;0.000474791;-
Nuclear, Renewables, and Other;Argentina;Quad Btu;0.208995848;0.205694779;0.219152358;0.233876103;0.265034423;0.279086368;0.282251569;0.299187266;0.212407569;0.193574521;0.270693778;0.263602727;0.290530959;0.337920825;0.377380664;0.364811824;0.330737088;0.392224323;0.382879231;0.320339647;0.370807967;0.468350715;0.454720204;0.44982715;0.415800747;0.441620327;0.491112012;0.432644028;0.414872446;0.452081241;0.453575624;0.427355476;0.398128183;0.432961263;0.427982177;0.447092139;0.41590747;-
Nuclear, Renewables, and Other;Armenia;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.031473295;0.043610028;0.036930478;0.020433803;0.040291184;0.03083464;0.030753129;0.035167001;0.033216716;0.031558904;0.04040936;0.039813073;0.043678376;0.043741602;0.044549296;0.045755222;0.044875459;0.046518071;0.049215228;0.047301718;0.040730889;0.041899632;0.041737598;0.046469965;0.044061497;-
Nuclear, Renewables, and Other;Aruba;Quad Btu;--;--;--;--;--;--;0.000453868;0.000453868;(s);0.0004045;(s);(s);0.000371014;(s);0.000446587;(s);(s);(s);(s);(s);7.27E-05;(s);0.00012162;(s);(s);0.000217968;0.00017945;(s);(s);0.000474918;0.001281778;0.001544212;0.001231637;0.001646844;0.001907898;0.00142454;0.001354786;-
