country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.23266988943037023,0.20317605736398922,0.1144391362963676,0.10135740083586071,0.08718385572642424,0.07953429861070539,0.07237885855061392,0.06582667835588894,0.060962683469183813,0.04818674564551583,0.046482101205966665,0.047504436012884003,0.05687008093704423,0.0598312991486483,0.04685107110048067,0.06022943505826979,0.07028804581853712,0.09129575044205177,0.15974188642197995,0.24746172297420707,0.29996701404397647,0.41738757186092823,0.3583416962684055,0.32144523795897656,0.34495369378246915,0.35866204709950006
AGO,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.4214784428565196,0.40705954365040475,0.40174748589739095,0.4327152418870742,0.2824878961883713,0.7709022794459092,0.7151475887539024,0.4904241048484321,0.47212653920024084,0.5761840016963258,0.5820840726470119,0.572916893605741,0.7227140313335799,0.4971607178868923,0.9965166442662446,0.9768550810426593,1.095625448891812,1.1953697566784378,1.176501947202637,1.223971372906072,1.2366741407714303,1.2469772672328028,1.3268967550799624,1.2500798127880473,1.2852674987126895,1.3604072319822766
ALB,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.2037346859044802,1.7005395625797035,1.0368491881254847,1.0252123866975713,1.1208067261140007,1.1137090502701228,1.0865951669799252,1.121873263238347,1.3564197477961402,1.4571944321050105,1.0281969397527844,1.1753749029595109,1.2407707655170885,1.3243308834283454,1.4171589868378534,1.3867332818260971,1.3685484644591566,1.4947549643557159,1.5376125089457293,1.6910621794449872,1.7887962183623671,2.0364518039170263,1.9040841577800842,1.952738252909066,2.2048942489578964,1.9669201656180986
AND,Gg / ThousandPers,CO2-total-excl-LU-per-population,7.888605551376838,7.711175027791992,7.573699225648689,7.46256416985124,7.323260526189831,7.611589663273296,8.017402113113736,8.192516361714366,8.62149605562658,8.94826782662731,8.992200642300046,8.716829271914582,8.465502719524904,8.116750020496843,8.118671633177692,8.013491067239784,7.445271696855206,7.244536361767232,7.118922979692586,6.807795221519736,6.856209072931592,6.579025922078542,6.611590299765865,6.634648710204486,6.5763730229857496,6.909016330402236
ARE,Gg / ThousandPers,CO2-total-excl-LU-per-population,24.94390309723714,25.78646170152069,24.824610294353743,26.501706755217096,27.74096636472242,25.930856494148202,20.731071714728007,20.481405624423612,26.813288256942474,24.831317713028945,33.28129828759796,30.366514814048692,25.604237187616903,31.26727049021735,31.800928146781345,30.352247660365773,28.424092031487024,27.134047322771245,27.55908595504852,26.348766623365123,23.577251893555598,23.176774796122213,24.043720021891016,22.87297184192822,28.111976506766112,30.040520839273164
ARG,Gg / ThousandPers,CO2-total-excl-LU-per-population,3.391411095578856,3.5849940944000647,3.6547154401416893,3.605883711657473,3.732842488660044,3.543382170855373,3.783207313944829,3.8510944740729114,3.9457429985825683,3.9292657937657176,4.020783727926032,3.682798042640877,3.483826730294011,3.654457567688581,3.9505590376706716,4.087316525470317,4.322669316555647,4.603426790903148,4.655494750446786,4.460849149106505,4.608978061240172,4.777122165105072,4.703452208020198,4.771987726823683,4.769492187513633,4.767633709381402
ARM,Gg / ThousandPers,CO2-total-excl-LU-per-population,6.1613859161457984,5.819840005751372,7.261510219849484,2.9645285388650584,3.0088376993964054,3.3878897549592177,2.3451691252014144,2.4927499596244727,2.126301676207681,1.5085705258339464,1.0880939070650524,1.114514751750034,0.988827241003897,1.1133916494300828,1.2064205568730646,1.4389893665729814,1.4669596079094136,1.752438412358987,1.980592940011416,1.6201709903537511,1.6230431816372997,1.8952691647357527,2.1860411211684423,2.0632387872303144,2.0645374403864816,2.3346303501945527
ATG,Gg / ThousandPers,CO2-total-excl-LU-per-population,4.962816360801248,4.6949054333130285,4.588831893843074,4.604077897566416,4.461858085026283,4.455371575272688,4.588247738932671,4.669470921931078,4.696246759589736,4.729259082743703,4.8214969372128635,4.785026511633375,4.984582570189877,5.315431936123172,5.472653727183113,5.50121564541248,5.6034816890178405,5.832722338341668,5.89329354008521,6.1444096558062,6.232767454389875,6.059403044327667,6.117155935811195,6.061907098462545,6.139064475347661,6.2648239144141
AUS,Gg / ThousandPers,CO2-total-excl-LU-per-population,16.371864545882325,16.269224752334345,16.35599053594349,16.39577918368129,16.496356234507054,16.927828204450325,17.13033034446467,17.43595319540375,18.001563885862588,18.288695486964876,18.40989199687378,18.631413195804786,18.639098327713445,18.83538241309375,19.24963614929276,19.17099953490562,19.15075072401017,19.191600151699575,19.02308226128972,18.860078457926384,18.44479292645808,18.01617532256405,17.87760492149431,17.234878435145607,16.826649049946095,16.975106594425544
AUT,Gg / ThousandPers,CO2-total-excl-LU-per-population,8.130556014805379,8.529853393305622,7.764081240383488,7.741932867938845,7.738565828582085,8.072468489526003,8.493534998041248,8.477661051907187,8.431734661518085,8.21004499626325,8.253528569353682,8.743171558314732,8.912752390707528,9.552521254054012,9.541421513593178,9.668449716186172,9.306272318909416,8.939116913904032,8.874547832793443,8.08837427022434,8.63263261168409,8.32164677824608,7.9835182613587845,7.95077328847947,7.4595573841509895,7.708565968213747
AZE,Gg / ThousandPers,CO2-total-excl-LU-per-population,7.8975309170386465,7.2302688409661595,6.263439460712508,5.209871426967957,4.503033626078239,4.7457206846287265,3.857144111942214,3.684231577170331,3.6170647356964487,3.5013114397901695,3.6194678618953873,3.5621576379186313,3.5761684616978466,3.7673301672610875,3.953185758778499,4.239567910733907,4.588540583381952,3.4615941856221424,4.080749878597691,3.4063887942358524,3.332426603304062,3.4549191543451236,3.6373774314438005,3.5800693702370294,3.724837225139368,4.013523703288719
BDI,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.05502810033949383,0.05936433607215238,0.054582655539812744,0.05631217947540613,0.05620267160251018,0.056188651636733485,0.05677762637077413,0.05742709907908857,0.05689944574767165,0.056856730594654514,0.05889975262103899,0.04774377123015258,0.04731836164548638,0.03911916863712699,0.0434392103753997,0.03664144020258405,0.040258813357796096,0.03992658043448936,0.03957495764870685,0.03816690032113206,0.041747795408426894,0.041355633234359944,0.044207384135343274,0.043853317008649625,0.058432295873648746,0.05961210949411085
BEL,Gg / ThousandPers,CO2-total-excl-LU-per-population,12.192021541103502,12.450887474357398,12.30390526945503,12.155742936278013,12.406558185428615,12.467720139932979,12.832726391089583,12.226386909980242,12.796344035668001,12.188985837373576,12.35164290952966,12.30737146622174,12.252909704256245,12.381188578747048,12.404441667969929,12.041468922675374,11.770724738588683,11.404176639478923,11.318122457075324,10.036564401134775,10.5130947909078,9.534115015749904,9.20282761389627,9.236415653769642,8.699402745000272,8.947602485484508
BEN,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.14381853475427117,0.16079234115784857,0.16936109604949767,0.20464478464577343,0.22050253577916146,0.22351825178924664,0.21003373831010463,0.1989926514401735,0.19164593722204576,0.2400925076431949,0.23740338374101416,0.26000698344843587,0.2892235840860685,0.31779569459966717,0.3277417663268303,0.30442639740172694,0.46002772823216936,0.5180494704126927,0.4967278055807369,0.5109167366708307,0.5446090821010692,0.5485792853502272,0.5519489863462005,0.5717455160707969,0.6056356977817596,0.5881267237218929
BFA,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.0729766790140635,0.07624238625851427,0.0747543888086549,0.07254663607634293,0.07273402937965819,0.06878180291178941,0.07490784744057624,0.08260242841763563,0.08533353560541775,0.08818810318557586,0.09562418557914917,0.08958032621806011,0.08785416209092906,0.09166611943573813,0.09132371732961163,0.09015096934643527,0.10485078034650941,0.12208794808820447,0.13342658671781896,0.1301094458202803,0.12816226778519005,0.13928698989870852,0.15991584443772863,0.1815761902773213,0.16547275138594802,0.14797944013414446
BGD,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.136549443771962,0.1370399330318038,0.15015023385044773,0.14512493801516,0.15492897896371743,0.19122734689890022,0.20367834011553343,0.21073090196701552,0.20561817661517923,0.21700431724664054,0.23179595590231653,0.2632223365255069,0.2679342700427664,0.279817864609745,0.2908550727980171,0.3004927083422444,0.3240052742280206,0.32758097738895414,0.3420565274418646,0.35492408785240537,0.3831767603860061,0.3976300314525355,0.4180391187393753,0.41441559037289616,0.4334862711792625,0.5068210357106846
BGR,Gg / ThousandPers,CO2-total-excl-LU-per-population,8.912644882790238,6.878151773319844,6.604241029210454,6.856432027046991,6.714126534027465,6.933852715898214,7.103341682071311,6.831694092082468,6.525294301832833,5.838686392253364,5.7640944926390265,6.254298253865497,5.936878900128985,6.548023989602097,6.4443108229294515,6.637372860146779,6.81970880105716,7.427035652017741,7.190095882591593,6.142679146945492,6.4824656057931636,7.24557595056043,6.648078493288244,5.862809433508104,6.258528456573496,6.701594840245683
BHR,Gg / ThousandPers,CO2-total-excl-LU-per-population,27.423169755470017,25.69811579845615,23.32308009948632,30.39836781279081,29.840535091741447,29.270940697074145,29.723433816972772,32.104617349940334,32.752052298998535,31.2625187535838,30.69450839133693,22.650738514426944,23.940757507331856,23.371956990462444,23.136767215200855,23.954978136865023,22.119877213813655,28.188293942123252,28.799827739348103,25.822152875583637,25.385578734782754,24.173315632312136,22.227059021686383,25.619369155343843,25.291885569931686,19.462698317241983
BHS,Gg / ThousandPers,CO2-total-excl-LU-per-population,8.855564571499906,8.08069976562141,8.003486965213012,7.523094794682204,7.394117327244061,7.246118150990541,7.153176644702068,6.028504721747917,7.067503275184444,6.982954777703596,6.881734868575649,6.465766077820113,6.372166892549741,6.080837128578034,6.604118737714169,6.530012239976431,6.193609862132627,6.163679278352924,5.50654475788411,5.833352120296683,5.79216920893934,6.301695729032539,6.504694400318247,8.641713498038383,7.509766621573178,7.651781882855355
BIH,Gg / ThousandPers,CO2-total-excl-LU-per-population,5.981957341250726,5.650101347263235,2.090039663574383,1.2328770139131637,1.367498510946066,1.280012654434047,1.8014071608712146,2.486388157437139,3.492881587314707,3.4848600123752433,3.796420532953727,3.9243928593020305,4.131567106051766,4.101346114715445,4.363593665331407,4.442646230494006,4.736116299966027,4.716481187069422,5.234351481122191,5.284846556615521,5.427067202137297,6.0181112618651,5.619209473164848,5.603330264446675,6.309587038930433,5.910698675692408
BLR,Gg / ThousandPers,CO2-total-excl-LU-per-population,10.277144238055463,9.573174303253325,8.904181031589491,7.695693646690215,6.408898539370739,5.767917913752964,5.9055865859892975,6.254305419176951,5.960294669792201,5.7475102716719935,5.617293775102281,5.672057248073806,5.720326798905123,5.903458030109484,6.51034804320639,6.693313120359178,7.216677773666396,6.972942048874767,7.226002755137062,6.788781096491455,7.220467364807041,6.907113059090669,7.01033496520699,7.205475908496575,7.158784044156308,6.6731521693753555
BLZ,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.6795342091793208,1.8992706382177205,1.8474966163536901,1.927981539956279,1.8743120084889475,1.8409087614694415,1.4601546266309742,1.7734176872467353,1.6284240329332476,1.4768267887175455,1.621413986211916,1.7726602453487277,1.6666285287140647,1.6274662802363171,1.4415641333048401,1.5073585218708192,1.5442979635215497,1.6152436102370253,1.4436659970930705,1.885776720213806,1.6821720852715107,1.843908721961652,1.4315371798717558,1.5079275148831575,1.4245338277024913,1.7395515575248826
BOL,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.7919788152230287,0.8208770484922391,0.8988030495363873,0.9651043295652563,1.103943044626392,1.160345164360646,1.154527477559601,1.1625166516217107,1.1175823740439812,0.9678942629289654,0.9389038591226923,0.8297656353444851,1.0469939659172263,1.1055091584737164,1.0894605453034383,1.1944670096430747,1.4542189260884073,1.1756676203343472,1.239602056489395,1.2911492334877384,1.3812931767545096,1.4387285687736564,1.650551166890842,1.6345738915858288,1.7420680752865016,1.5664766536701942
BRA,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.5065066524488149,1.5660307969694567,1.5462822528760491,1.5910121103896133,1.634261914065211,1.7252362606312448,1.825201418253055,1.909932774902414,1.9451063943815454,1.979633587535458,2.059472699569993,2.0478122529720983,2.0149760905323983,2.0001956465341717,2.0515490066502555,2.059733766517279,2.0580659009843227,2.135827790341093,2.2178575683474917,2.0780314029642764,2.2917101136709053,2.2950707195843942,2.398273047953699,2.4504883764048166,2.5365655596694654,2.4519073187967177
BRB,Gg / ThousandPers,CO2-total-excl-LU-per-population,4.1094732961048335,4.592861927088317,3.722576511152473,4.257114512579394,2.8596860026892412,3.1401084696122794,3.203706071248618,3.3490044765775724,4.217204702369846,4.462260432393036,4.372848317750429,4.470140569296414,4.4570830785551685,4.627963181981797,4.687082327868732,4.853855165341284,4.908394809463386,4.888647474198805,5.76952895402046,5.7456817610514594,5.22232436357393,5.4169443444606395,5.184935277092175,5.097182744620525,4.4462480371226425,4.573969889204376
BRN,Gg / ThousandPers,CO2-total-excl-LU-per-population,23.996754062252446,20.01697499568114,19.090169110427322,17.710673608966783,16.268025213712114,16.1511749979811,16.048625036511442,16.280068453201213,16.57153955554442,12.044537204747938,14.193931719086187,13.318946127362056,12.684977239114705,13.073412019049828,13.962945347029256,13.774859102087316,13.207292370020257,22.51483204575526,24.100070665415082,20.559081954910727,21.17521136617421,24.66923680183141,24.26528713089246,19.299214228672273,22.200415832734198,22.75220217367355
BTN,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.27918403811792736,0.3685201867168946,0.4289544235924933,0.4090863038287802,0.44143015626240306,0.5846056436780047,0.6701561001536738,0.8510573915280073,0.8392433898054985,0.8232548879637983,0.8022099139193885,0.7717096336499322,0.8278377767773364,0.7410567918977791,0.6137920478789034,0.7264265448747335,0.7021427253848396,0.691454208263096,0.7646765104501034,1.0035579418244318,1.1502925206248684,1.3909332757153854,1.4874489851480874,1.5687074243000623,1.66141196834817,1.6002316525820879
BWA,Gg / ThousandPers,CO2-total-excl-LU-per-population,2.0102880300048187,1.898737304400059,1.9782488788205792,2.207811236153511,2.061826073226144,2.0393934334080686,1.7767415183970674,1.8013782069875155,2.090289735719099,1.9648653831899294,2.2680722543018157,2.2963813474573134,2.348376614438696,2.2445892928102755,2.2357912459753027,2.306218383793535,2.2873968150520265,2.293129908159886,2.3890860384380823,2.0152716171973886,2.3624399836018872,2.0620677518440393,2.0389457788796808,2.485310125829983,3.269431095932671,3.281735399785533
CAF,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.10817135976161481,0.1088029551944123,0.11047200293816765,0.11064930394672236,0.11200641435640686,0.10916356549679711,0.10652475783808295,0.106899905581227,0.10535430597503463,0.10607892054090458,0.10439453036575902,0.09733304837974398,0.09519880684162092,0.09091673960516518,0.09321742149761433,0.09544781741849992,0.09615023045115878,0.09916272978156133,0.09895553582581618,0.09740635707036191,0.10115712511450425,0.10455406685160225,0.10756241737959245,0.10889728607961546,0.10851771009028674,0.12604210202151295
CAN,Gg / ThousandPers,CO2-total-excl-LU-per-population,16.79144091507214,16.259811244985933,16.558420397155476,16.33503014474822,16.67459743594302,16.910970525030745,17.284373724349077,17.623561397377866,17.76120418843657,18.092930281076793,18.675307108755653,18.24350972636927,18.262572304381273,18.62285357384575,18.3727922171475,17.901398600965436,17.52156645989891,18.049704039366283,17.273097064507507,16.040328819638074,16.330750733391188,16.271639325969634,16.188784725122314,16.196056813271234,16.00910980137245,15.772033092117656
CHE,Gg / ThousandPers,CO2-total-excl-LU-per-population,6.621831970264679,6.838677960424377,6.749444197943004,6.326542457484473,6.133944371876194,6.183635450468581,6.245421263577595,6.0633706841667765,6.2683350557200175,6.219825441439503,6.083225783947818,6.261553851098583,6.005040921247822,6.116381576087306,6.15196413023817,6.180579808558564,6.0683772450823765,5.740468903721226,5.846107688965622,5.6222172448007735,5.74568011040899,5.169965125432811,5.266650646752169,5.311906022545598,4.763276692059873,4.651571455890181
CHL,Gg / ThousandPers,CO2-total-excl-LU-per-population,2.590217345666091,2.4076252165748055,2.457751363777704,2.593161487402854,2.7818407397595797,2.937758754468628,3.2901484677771684,3.7223963385774663,3.70774480720936,3.8999925183816995,3.6625107107144625,3.2826223218706363,3.360293555244986,3.3735155107660715,3.587128855803555,3.6477219635718297,3.7929404982612525,4.159671475695604,4.177184148162321,3.86227897514368,4.148680713648407,4.518066055524875,4.569679994148961,4.581119078058948,4.5078296004075895,4.48130549661957
CHN,Gg / ThousandPers,CO2-total-excl-LU-per-population,2.123766637451371,2.2031923176950983,2.2757401348320054,2.3990880842714986,2.546802723844081,2.72593834306196,2.8160418103359666,2.827490573190112,2.6746796534403843,2.6658163256205385,2.7509373702193667,2.796417009602607,3.0647291345380414,3.5978274636746868,4.109565653476441,4.585269591417447,5.040591454153864,5.393474918388458,5.742273551324483,6.013010775209545,6.545296272034139,7.159152682294215,7.344393646456971,7.304056682048567,7.337546779054787,7.301210829296486
CIV,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.41979974492478417,0.36900055452364783,0.3213548502816869,0.4022688255387264,0.34366186342408916,0.4738384767846655,0.5481736248594472,0.5172864976052678,0.4595659984619019,0.40612916392054027,0.42968709969657615,0.48004266628607545,0.46353566463557433,0.3303287931035946,0.44283342717845986,0.44447345792660603,0.39359477973532353,0.37776497370499046,0.3713204020148542,0.30948468742999596,0.3671329091224489,0.3780752533427236,0.46688385792481424,0.5007668105597334,0.5059616933738991,0.4760158958151798
CMR,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.36704395940391377,0.3051225178842838,0.5133399484613138,0.529827027934503,0.9229835098698213,0.9286089868251929,0.8904995427321047,0.7694793159371237,0.7505041804459923,0.7252269036887256,0.7136200741719684,0.6763686431158084,0.6217016396634704,0.6176644025834843,0.6250338682856694,0.602727946686704,0.6033667192526835,0.6903904016381497,0.6717086066711347,0.7152950301249846,0.6559677163735802,0.5701630183786932,0.5691956170229903,0.5864502742116804,0.580038474986223,0.6174861028402521
COD,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.1216250458152303,0.08687220388794878,0.08006180664366794,0.07132999146743947,0.07200728832942371,0.08005626729503865,0.08627432936087977,0.07597510626590202,0.06623472260998527,0.05424994150701588,0.03908541239581533,0.039880698440383666,0.04053314652234834,0.044561170061906755,0.042802555188096766,0.04602615644553583,0.04580583796642878,0.048957880166241786,0.048365504344216104,0.04310245718455871,0.04556496158602518,0.05066433458834486,0.047695895378227146,0.06295919460354729,0.07555322731646602,0.05459559826401221
COG,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.48761359040540353,0.4027479372127929,0.4966948450447899,0.5021697129741397,0.7933893040102523,0.5608635154710807,0.600856759221762,0.7966325397387991,0.26308425945881403,0.27133503212657795,0.3286080936173458,0.24126863875630844,0.18079467477503391,0.2749449753163366,0.2773587349557155,0.2662547875434715,0.29408970777112536,0.3068220628200569,0.32074373668883116,0.41140537958376117,0.4536446931663556,0.5030214526461809,0.6410030899802152,0.6482309503760265,0.6158771908034755,0.5965192103206631
COK,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.9993462628023537,1.980785837651123,1.9610986427273698,2.1357782606391433,2.125191161736012,2.1259759442920445,2.535211267605634,2.56879745812914,2.6072697458321943,2.631869344515559,2.6321598057609537,1.8011134155659863,1.5666773607100843,1.723417589304366,2.817334289519516,3.160832064941654,3.3509341998375306,3.3827071908154376,3.6279408702894025,3.6940852236591057,3.758425451604206,3.817713753628745,3.8730829073127366,3.923003320763213,3.962929269956789,4.258123674709152
COL,Gg / ThousandPers,CO2-total-excl-LU-per-population,1.488114126098414,1.4720721844629023,1.5748615204579293,1.6051866370671357,1.6755587601484343,1.5196847110931135,1.558515093075415,1.6974848579046036,1.7586759178797238,1.5268985658931693,1.606278276004544,1.5711567243714635,1.5491013035519088,1.5823629024293446,1.5213873236088908,1.6495080099785528,1.694964668313208,1.6563540038200255,1.7683133568859013,1.8627722132779065,1.9338780524811383,1.9286030712066546,1.9986572521449038,2.19673535132906,2.054741020922976,2.1356579465541023
COM,Gg / ThousandPers,CO2-total-excl-LU-per-population,0.16083810745540508,0.16514419447380344,0.16061478114231245,0.16448759554303166,0.16007718316074562,0.1636537272241551,0.16699854899545052,0.1701354509286726,0.18005956711972604,0.18285027077723653,0.19913083079963936,0.1942837406096192,0.18964702824862725,0.23662105138620498,0.2494859584614251,0.23707259489852478,0.26659216985273576,0.16988248495994515,0.1719339834365191,0.20497525443667455,0.2435869924546029,0.2009711719591434,0.20722010090237444,0.24679703304113285,0.21201366895579976,0.21738459322068782
