category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPCM0EL,AFG,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,2850.0,2640.0,1600.0,1530.0,1410.0,1360.0,1290.0,1210.0,1150.0,935.0,934.0,996.0,1250.0,1380.0,1130.0,1510.0,1820.0,2430.0,4360.0,6930.0,8640.0,12400.0,11000.0,10200.0,11300.0,12100.0,14200.0
IPCM0EL,AGO,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,5130.0,5110.0,5210.0,5800.0,3910.0,11000.0,10500.0,7400.0,7320.0,9190.0,9570.0,9730.0,12700.0,9050.0,18800.0,19100.0,22200.0,25100.0,25600.0,27600.0,28900.0,30200.0,33300.0,32500.0,34600.0,37900.0,39600.0
IPCM0EL,ALB,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,3950.0,5570.0,3360.0,3270.0,3520.0,3460.0,3360.0,3470.0,4210.0,4540.0,3210.0,3670.0,3870.0,4120.0,4390.0,4270.0,4180.0,4520.0,4600.0,5010.0,5260.0,5960.0,5560.0,5700.0,6440.0,5750.0,5990.0
IPCM0EL,AND,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,430.0,437.0,446.0,455.0,459.0,486.0,516.0,527.0,553.0,576.0,588.0,587.0,593.0,594.0,619.0,632.0,603.0,599.0,597.0,575.0,579.0,551.0,545.0,536.0,521.0,539.0,534.0
IPCM0EL,ARE,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,46400.0,50800.0,51800.0,58500.0,64600.0,63500.0,53300.0,55300.0,76100.0,74200.0,105000.0,101000.0,89800.0,117000.0,130000.0,139000.0,149000.0,164000.0,190000.0,202000.0,195000.0,201000.0,214000.0,206000.0,255000.0,275000.0,282000.0
IPCM0EL,ARG,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,111000.0,119000.0,123000.0,123000.0,129000.0,124000.0,134000.0,138000.0,143000.0,144000.0,149000.0,138000.0,132000.0,140000.0,153000.0,160000.0,171000.0,184000.0,188000.0,182000.0,190000.0,199000.0,198000.0,203000.0,205000.0,207000.0,207000.0
IPCM0EL,ARM,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,21800.0,20400.0,25000.0,9970.0,9880.0,10900.0,7430.0,7810.0,6610.0,4660.0,3340.0,3400.0,3000.0,3360.0,3620.0,4290.0,4340.0,5140.0,5760.0,4680.0,4670.0,5450.0,6300.0,5970.0,6000.0,6810.0,6930.0
IPCM0EL,ATG,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,331.0,316.0,314.0,322.0,320.0,328.0,347.0,363.0,375.0,387.0,403.0,407.0,430.0,464.0,483.0,491.0,506.0,533.0,545.0,575.0,590.0,580.0,592.0,593.0,607.0,626.0,636.0
IPCM0EL,AUS,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,279000.0,281000.0,286000.0,290000.0,295000.0,306000.0,313000.0,322000.0,336000.0,345000.0,351000.0,359000.0,363000.0,371000.0,384000.0,388000.0,394000.0,402000.0,406000.0,410000.0,408000.0,405000.0,408000.0,399000.0,395000.0,404000.0,415000.0
IPCM0EL,AUT,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,62800.0,66300.0,60800.0,61100.0,61500.0,64500.0,68100.0,68100.0,67800.0,66100.0,66600.0,70800.0,72500.0,78100.0,78400.0,79800.0,77100.0,74300.0,74000.0,67700.0,72600.0,70400.0,68000.0,68200.0,64400.0,66900.0,67600.0
IPCM0EL,AZE,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,57200.0,53200.0,46800.0,39500.0,34600.0,36900.0,30300.0,29200.0,28900.0,28200.0,29400.0,29200.0,29600.0,31500.0,33400.0,36200.0,39600.0,30200.0,36000.0,30400.0,30100.0,31600.0,33700.0,33600.0,35400.0,38600.0,38500.0
IPCM0EL,BDI,HISTCR,PRIMAP-hist_v2.0,Gg,CO2-total-excl-LU,298.0,329.0,309.0,325.0,330.0,335.0,343.0,351.0,352.0,357.0,377.0,313.0,319.0,272.0,312.0,272.0,309.0,317.0,325.0,324.0,366.0,374.0,412.0,421.0,578.0,608.0,625.0
