category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC1,AFG,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,2560.0,2380.0,1330.0,1290.0,1230.0,1180.0,1120.0,1030.0,979.0,763.0,748.0,792.0,1040.0,1160.0,913.0,1300.0,1630.0,2260.0,4190.0,6750.0,8440.0,12200.0,10700.0,9990.0,11100.0,11800.0,14000.0
IPC1,AGO,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,4990.0,4960.0,5050.0,5650.0,3770.0,10900.0,10300.0,7230.0,7130.0,9050.0,9440.0,9460.0,12400.0,8720.0,18400.0,18500.0,21600.0,24500.0,24800.0,26900.0,28300.0,29600.0,32600.0,31600.0,33500.0,19900.0,20800.0
IPC1,ALB,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,3070.0,4920.0,3100.0,3000.0,3300.0,3180.0,3090.0,3270.0,4000.0,4330.0,2990.0,3370.0,3480.0,3650.0,3900.0,3840.0,3750.0,3930.0,3980.0,4320.0,4460.0,4910.0,4310.0,4420.0,5220.0,4530.0,4760.0
IPC1,AND,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,389.0,396.0,403.0,414.0,416.0,443.0,473.0,484.0,510.0,533.0,544.0,545.0,551.0,552.0,577.0,591.0,560.0,553.0,553.0,530.0,529.0,501.0,500.0,486.0,471.0,,
IPC1,ARE,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,43700.0,47800.0,48700.0,55300.0,61000.0,59100.0,48600.0,50100.0,69700.0,67100.0,98700.0,94700.0,82700.0,110000.0,122000.0,131000.0,138000.0,150000.0,172000.0,186000.0,179000.0,184000.0,198000.0,191000.0,239000.0,257000.0,264000.0
IPC1,ARG,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,100000.0,109000.0,113000.0,113000.0,118000.0,113000.0,123000.0,126000.0,131000.0,133000.0,136000.0,126000.0,119000.0,126000.0,138000.0,144000.0,154000.0,167000.0,171000.0,167000.0,173000.0,182000.0,182000.0,185000.0,186000.0,185000.0,185000.0
IPC1,ARM,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,21000.0,19600.0,24600.0,9680.0,9650.0,10600.0,7140.0,7440.0,6220.0,4350.0,3080.0,3130.0,2670.0,3020.0,3190.0,3820.0,3850.0,4570.0,5200.0,4270.0,4230.0,5010.0,5820.0,5620.0,5660.0,6460.0,6590.0
IPC1,ATG,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,282.0,268.0,264.0,271.0,268.0,275.0,293.0,308.0,319.0,330.0,345.0,348.0,370.0,403.0,422.0,429.0,444.0,469.0,480.0,510.0,524.0,513.0,524.0,524.0,537.0,556.0,566.0
IPC1,AUS,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,259000.0,261000.0,266000.0,270000.0,272000.0,284000.0,290000.0,298000.0,312000.0,320000.0,327000.0,334000.0,339000.0,345000.0,357000.0,362000.0,368000.0,374000.0,379000.0,386000.0,381000.0,378000.0,384000.0,376000.0,372000.0,381000.0,392000.0
IPC1,AUT,HISTCR,PRIMAP-hist_v2.0,Gg,Energy-CO2,51700.0,55400.0,50800.0,51100.0,50900.0,53400.0,57700.0,56500.0,56400.0,54800.0,54400.0,58700.0,59900.0,65500.0,65700.0,66300.0,62900.0,59500.0,59000.0,55600.0,58700.0,56300.0,54400.0,54100.0,50300.0,52100.0,53100.0
