category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC2,ALB,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0517,0.0378,0.0238,0.0392,0.0371,0.0473,0.0343,0.0338,0.0333,0.0309,0.0138,0.0131,0.0243,0.0416,0.0381,0.0378,0.0187,0.0155,0.0131,0.00831,0.0256,0.0316,0.0319,,,,
IPC2,AND,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0019100000000000002,0.00196,0.0021,0.00206,0.00227,0.00236,0.00238,0.0024100000000000002,0.00242,0.00246,0.00251,0.00262,0.00259,0.00268,0.00247,0.00247,0.00262,0.00267,0.0024,0.00216,0.00233,0.00237,0.00229,,,,
IPC2,ARE,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0299,0.0318,0.0319,0.0312,0.0311,0.033,0.0687,0.105,0.14,0.17600000000000002,0.212,0.248,0.28300000000000003,0.319,0.355,0.39,0.426,0.462,0.498,0.534,0.569,0.605,0.6409999999999999,,,,
IPC2,ARG,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.6679999999999999,0.737,0.7140000000000001,0.6809999999999999,0.79,0.8059999999999999,1.07,0.875,0.855,0.915,1.18,1.56,1.47,1.81,1.9,1.88,1.97,2.26,1.63,1.42,1.87,2.13,1.93,2.25,2.32,,
IPC2,AUS,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,3.27,3.01,3.29,3.33,3.72,3.94,4.02,3.94,4.11,3.84,3.47,3.24,3.22,3.46,3.45,3.27,3.55,3.57,3.57,3.09,3.69,3.9,3.01,2.74,2.6,2.75,2.82
IPC2,AUT,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.71,1.7,1.58,1.6,1.64,1.63,1.63,1.64,1.66,1.64,1.64,1.65,1.7,1.7,1.71,1.8,2.29,2.31,2.32,2.31,2.36,1.87,1.87,1.96,1.87,1.88,1.86
IPC2,AZE,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0283,0.0348,0.00313,0.0101,0.007559999999999999,0.0102,0.0128,0.00609,0.00815,0.0099,0.0132,0.0105,0.0153,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0133,0.01,0.006670000000000001,0.0033299999999999996,,,,
IPC2,BEL,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.547,0.504,0.43200000000000005,0.47600000000000003,0.525,0.563,0.5539999999999999,0.583,0.706,0.6890000000000001,0.664,0.762,0.879,0.924,1.39,2.9,3.35,3.64,2.94,1.06,1.06,0.6709999999999999,0.91,0.816,1.19,0.882,1.21
IPC2,BGR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.6,1.22,1.14,1.32,1.79,1.96,1.93,2.06,1.77,1.48,1.5,1.52,1.36,1.69,1.46,1.4,1.44,1.4,0.7759999999999999,0.195,0.19399999999999998,0.196,0.19699999999999998,2.05e-05,3.02e-05,1.49e-05,1.58e-05
IPC2,BHR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.831,0.831,0.831,0.831,0.831,0.831,0.884,1.03,0.883,0.97,0.851,0.948,0.92,0.92,0.92,0.92,0.831,0.831,0.831,0.828,0.828,0.828,0.828,,,,
