category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPCM0EL,AFG,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,12800.0,13000.0,12100.0,12200.0,12200.0,12800.0,13900.0,14900.0,15700.0,16600.0,14800.0,13300.0,16000.0,16700.0,16400.0,17200.0,17700.0,18500.0,21700.0,25000.0,28900.0,32800.0,32500.0,31000.0,32400.0,32500.0,34500.0
IPCM0EL,AGO,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,68800.0,71000.0,73300.0,72700.0,66400.0,77800.0,82000.0,77300.0,80000.0,75900.0,70600.0,69700.0,71400.0,71100.0,81800.0,82400.0,80300.0,84900.0,84500.0,86600.0,92500.0,94900.0,95300.0,92200.0,92700.0,97100.0,98200.0
IPCM0EL,ALB,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,6780.0,8090.0,5800.0,5890.0,6450.0,6390.0,6450.0,6520.0,7320.0,7770.0,7030.0,7410.0,7720.0,8020.0,8310.0,8110.0,8040.0,8270.0,8180.0,8660.0,8930.0,9650.0,9290.0,9480.0,10300.0,10000.0,9940.0
IPCM0EL,AND,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,476.0,484.0,494.0,504.0,509.0,536.0,567.0,577.0,591.0,609.0,621.0,620.0,625.0,627.0,652.0,666.0,635.0,630.0,627.0,605.0,608.0,581.0,577.0,565.0,542.0,560.0,554.0
IPCM0EL,ARE,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,60200.0,66100.0,67600.0,74900.0,81600.0,83000.0,75800.0,79000.0,101000.0,101000.0,136000.0,133000.0,124000.0,154000.0,169000.0,181000.0,194000.0,210000.0,238000.0,251000.0,245000.0,254000.0,269000.0,264000.0,315000.0,337000.0,347000.0
IPCM0EL,ARG,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,243000.0,252000.0,258000.0,261000.0,266000.0,260000.0,273000.0,274000.0,279000.0,281000.0,297000.0,293000.0,287000.0,305000.0,317000.0,326000.0,341000.0,356000.0,352000.0,341000.0,316000.0,325000.0,327000.0,337000.0,329000.0,332000.0,334000.0
IPCM0EL,ARM,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,26000.0,24400.0,28700.0,13300.0,13200.0,14000.0,10500.0,10900.0,9460.0,7470.0,6070.0,6160.0,5980.0,6510.0,6960.0,7820.0,8010.0,8900.0,9600.0,8470.0,8500.0,9340.0,10400.0,10200.0,10400.0,11300.0,11500.0
IPCM0EL,ATG,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,393.0,381.0,378.0,387.0,386.0,396.0,416.0,432.0,444.0,458.0,477.0,484.0,507.0,543.0,564.0,574.0,591.0,617.0,629.0,659.0,654.0,649.0,662.0,663.0,678.0,697.0,707.0
IPCM0EL,AUS,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,423000.0,424000.0,429000.0,429000.0,429000.0,439000.0,446000.0,458000.0,472000.0,477000.0,488000.0,496000.0,500000.0,502000.0,519000.0,525000.0,530000.0,538000.0,541000.0,545000.0,542000.0,544000.0,547000.0,536000.0,530000.0,541000.0,552000.0
IPCM0EL,AUT,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,79500.0,83200.0,76500.0,76500.0,77000.0,80300.0,83700.0,83400.0,82800.0,80800.0,81000.0,85200.0,86900.0,92500.0,92200.0,93400.0,90500.0,87700.0,87500.0,80600.0,85400.0,83000.0,80500.0,80700.0,76900.0,79300.0,80100.0
IPCM0EL,AZE,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,77900.0,70700.0,62300.0,53400.0,47400.0,49900.0,42600.0,41600.0,41100.0,41600.0,43000.0,43800.0,44400.0,46600.0,48900.0,52700.0,57300.0,51300.0,61600.0,55900.0,55900.0,56800.0,59900.0,60900.0,63800.0,68000.0,68800.0
IPCM0EL,BDI,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,3150.0,3220.0,3270.0,3280.0,3240.0,3280.0,3320.0,3430.0,3380.0,3160.0,3230.0,3620.0,3670.0,3730.0,4050.0,4160.0,4390.0,4510.0,4710.0,4930.0,5240.0,5490.0,5620.0,6180.0,6410.0,6510.0,6270.0
