sectorCode,sector,unit,ISO,country,variable,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ABW,ARUBA,KYOTOGHGAR4,1.7053,1.749,1.5329,1.6681,1.6907,1.7488,1.7642,1.8211,1.8756,1.8881,2.4681,2.499,2.5289,2.6556,2.7111,2.8145,2.8117,2.9208,2.7569,2.7285,2.6095,2.6039,1.4532,0.9682,0.9808,1.0123,1.0296,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AFG,AFGHANISTAN,KYOTOGHGAR4,12.8333,13.0359,12.0528,12.2021,12.2452,12.8268,13.9125,14.8752,15.6794,16.5714,14.8423,13.2886,15.9716,16.7118,16.3807,17.1945,17.7479,18.4566,21.7499,25.0143,28.8518,32.8446,32.5047,31.0286,32.4054,32.54,34.542,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AGO,ANGOLA,KYOTOGHGAR4,68.7644,70.9554,73.3014,72.6589,66.3773,77.7669,82.0358,77.2681,79.9588,75.8672,70.5521,69.6525,71.3805,71.0998,81.762,82.4403,80.2985,84.8736,84.529,86.6369,92.5431,94.9109,95.3237,92.2016,92.6928,97.0627,98.2048,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AIA,ANGUILLA,KYOTOGHGAR4,0.054408,0.054509,0.058189,0.069351,0.069661,0.069829,0.073576,0.073554,0.080936,0.084633,0.092164,0.099498,0.099597,0.10703,0.12616,0.13366,0.14845,0.15581,0.15577,0.15207,0.15586,0.14861,0.14865,0.14173,0.1492,0.15425,0.15696,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ALB,ALBANIA,KYOTOGHGAR4,6.7836,8.0887,5.8009,5.8949,6.4486,6.3927,6.4484,6.5233,7.323,7.7672,7.0292,7.4093,7.7163,8.0186,8.3059,8.1098,8.0436,8.2704,8.1824,8.6564,8.9319,9.6453,9.2923,9.4837,10.2982,10.012,9.942,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AND,ANDORRA,KYOTOGHGAR4,0.47571,0.48446,0.49387,0.50427,0.50858,0.5363,0.56739,0.57745,0.59114,0.60899,0.62122,0.62006,0.62549,0.62735,0.65217,0.66589,0.63477,0.6297,0.62736,0.60489,0.60827,0.58139,0.57682,0.56473,0.54172,0.55979,0.55419,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ANNEXI,Annex I,KYOTOGHGAR4,19808.4385,19360.5818,18718.1838,18420.3374,18144.0049,18234.1142,18482.3371,18349.0955,18281.9207,18239.2994,18454.9018,18438.8826,18443.8709,18709.4058,18925.2959,18945.6706,18945.8396,19101.6934,18688.83,17562.6483,18109.5068,17959.5294,17761.0823,17764.8466,17557.0646,17403.0245,17288.1824,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ANT,NETHERLANDS ANTILLES,KYOTOGHGAR4,5.6017,4.5335,3.7773,5.7309,5.5054,5.4514,5.1145,5.3662,0.54039,2.3595,5.8629,5.9758,5.7525,5.7515,6.0379,5.9941,6.2329,6.9968,6.7379,6.871,4.7683,6.0712,7.2597,6.4981,7.1833,7.4206,7.5445,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AOSIS,AOSIS,KYOTOGHGAR4,165.9959,164.5787,171.6039,172.1003,181.7933,173.9044,188.1806,195.9198,192.5372,203.5129,220.3223,228.079,224.689,220.4334,222.9591,237.9433,253.5471,251.6793,267.8449,280.0566,290.5044,290.7326,290.9427,328.4751,333.9544,344.4686,352.4889,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ARE,UNITED ARAB EMIRATES,KYOTOGHGAR4,60.1766,66.0984,67.6205,74.8892,81.5575,83.0098,75.8372,79.031,101.0941,100.9369,135.6631,132.6479,123.631,154.4614,169.2314,181.1005,193.6888,209.5827,237.5411,250.9296,245.3538,254.0999,268.6406,264.4605,314.9715,337.1973,346.6998,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ARG,ARGENTINA,KYOTOGHGAR4,242.6214,252.1812,257.5472,261.2332,266.4726,260.4437,272.5196,274.181,278.6751,280.7198,296.6807,293.3297,286.7622,304.7185,316.9441,326.4309,341.0986,355.5105,351.8678,341.3198,315.586,325.4394,327.249,337.19,328.7044,331.5493,334.3833,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ARM,ARMENIA,KYOTOGHGAR4,25.9566,24.4069,28.6513,13.2765,13.2093,13.9821,10.5443,10.8667,9.4597,7.469,6.072,6.155,5.9823,6.5112,6.9554,7.819,8.0107,8.8988,9.5994,8.4708,8.5031,9.3406,10.3798,10.2118,10.3535,11.28,11.5285,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ATA,ANTARCTICA,KYOTOGHGAR4,0.011,0.014667,0.014667,0.014667,0.014667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.0073334,0.0073334,0.011,0.005308,0.005177,0.0050461,0.0049151,0.0047842,0.0046532,0.0045223,0.0043913,0.0042604,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ATG,ANTIGUA AND BARBUDA,KYOTOGHGAR4,0.39326,0.38079,0.37831,0.38698,0.38593,0.39646,0.41559,0.4315,0.44368,0.45806,0.47713,0.48354,0.50722,0.54326,0.56439,0.57422,0.59053,0.61717,0.62929,0.65932,0.65377,0.64925,0.66187,0.66316,0.67818,0.69738,0.70686,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AUS,AUSTRALIA,KYOTOGHGAR4,422.9553,424.1402,428.9782,429.2002,429.3915,438.8803,445.916,457.8775,471.7801,477.4452,488.2092,495.621,499.5507,501.768,519.2228,525.3236,529.9384,537.581,540.9044,545.0609,542.2427,543.5356,546.7518,536.4226,530.4494,540.6898,552.3117,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AUT,AUSTRIA,KYOTOGHGAR4,79.5387,83.248,76.4669,76.4976,77.0104,80.334,83.6731,83.3785,82.7511,80.7654,81.0453,85.1623,86.8672,92.4549,92.1985,93.3694,90.4895,87.6987,87.462,80.59,85.4205,83.0111,80.5351,80.6654,76.9095,79.3053,80.102,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,AZE,AZERBAIJAN,KYOTOGHGAR4,77.927,70.6906,62.2815,53.3969,47.3562,49.9077,42.6202,41.5761,41.0881,41.5677,42.9841,43.8147,44.4064,46.5575,48.9109,52.6816,57.2681,51.2522,61.6405,55.8762,55.8673,56.8348,59.8562,60.9145,63.8051,68.0126,68.7785,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,BASIC,BASIC countries,KYOTOGHGAR4,5728.1874,5952.9792,6120.8206,6364.2887,6712.6145,7168.279,7449.959,7521.2863,7416.6602,7591.4515,7782.2602,7897.5372,8346.6898,9216.8603,10161.0005,10988.0393,11828.4793,12484.9618,13255.8587,13867.7064,14781.0386,15969.8035,16484.3521,16581.3361,16933.7499,16983.2027,17142.0724,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,BDI,BURUNDI,KYOTOGHGAR4,3.1483,3.2237,3.267,3.2827,3.2401,3.2785,3.3195,3.4257,3.3805,3.1558,3.2309,3.6232,3.6687,3.7294,4.0523,4.1616,4.3919,4.5126,4.713,4.9262,5.2385,5.4904,5.622,6.1769,6.4076,6.5114,6.2654,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,BEL,BELGIUM,KYOTOGHGAR4,149.2137,151.7496,150.3899,149.4452,154.1107,156.3119,160.04,151.5159,156.6044,149.9134,150.8833,149.3312,148.8654,149.2473,150.6353,146.7063,144.2636,140.699,140.6724,127.4811,134.224,123.4666,120.6786,121.1644,115.502,119.0964,119.2566,
