variable,country,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cement-process-emissions-CO2-per-population,AFG,ktCO2 / capita,3.6688367828073116,3.454762581465711,3.4210149306595388,3.1646032927640957,2.95064793990423,2.7877941285090633,2.6712848492982397,2.587369274881057,2.518553992713846,2.4459282869905685,1.0321614336314224,0.9849062285803762,1.0691575216164315,1.268163405868089,1.2073479561469,0.9249805291399181,0.7758718903815444,0.42529543004280906,0.514398184716651,0.40100940101015087,0.4870992137774294,0.46821460682141225,0.4515105372981909,0.6202002238267312,1.19909567183853,0.9369675461830741
Cement-process-emissions-CO2-per-population,AGO,ktCO2 / capita,8.67604747868391,8.404066899240256,9.5154778809478,7.624740986354998,7.152506834437022,5.668234214689557,7.539698864291142,8.111879788303796,9.22968685239815,5.226408964244365,4.881720759733456,13.077578835543175,13.594990715400964,15.326833181264414,15.970769410501038,26.67172380962025,26.64047825728829,25.759980134954862,31.453044244745495,30.76336744148341,24.75059941253271,23.688439013624468,24.422072708363633,29.94037311612972,35.98377531800527,35.45314572635606
Cement-process-emissions-CO2-per-population,ALB,ktCO2 / capita,113.88244357531751,91.71312111291614,30.528419696801848,31.016593705195945,16.334484389104613,31.84370992578707,33.179959563137,16.58561913663608,12.984255543036685,16.465655146913445,28.168111801202446,,,93.05674532827815,92.26060101099283,79.7290446576831,85.1577644990016,146.5984238271878,153.09272371677042,186.75942193351526,220.53884935513216,306.73201080139506,375.3374526847073,392.94575019064894,375.24287218289663,374.91208722042364
Cement-process-emissions-CO2-per-population,ARE,ktCO2 / capita,730.5768170074413,729.9396048580069,749.0514650593609,739.3296653763128,869.5891159220264,971.4883086547807,930.758998374186,769.6267791600771,977.7513129174162,921.30212485133,747.7198348613675,695.1225965354513,741.0402277351484,777.4058962054895,783.7705675560571,760.7714449547796,875.2331157078019,958.4605862244745,1136.3046282728953,891.0318059614215,780.225674200586,734.3924312263799,601.5424158747874,607.0220245622406,616.0381361561138,610.4233834540307
Cement-process-emissions-CO2-per-population,ARG,ktCO2 / capita,49.8934623340565,46.24341121768151,67.77565787774952,74.6974934740101,81.91997740617508,70.15325185040275,65.048579487529,86.11940251441308,87.91005030408435,88.02646840755699,74.07417002118763,65.70325203610028,45.3689253740561,59.25441913323627,69.48336189785476,82.56379381450041,95.37679141148804,99.69921609646221,97.19583455055124,91.3738770762036,99.8692772532936,109.20165190483905,99.39012140584096,109.47362977250194,104.62637252316489,99.86695538105198
Cement-process-emissions-CO2-per-population,ARM,ktCO2 / capita,103.38692514340062,108.7225993231298,27.794156517495882,15.872270150914424,9.367595914315125,20.5635583658809,23.811515316984483,51.51470467136875,64.78625682121438,53.35030529129493,45.21779470078721,47.03907849297937,69.67935958274128,72.96691702515007,99.41305307050695,111.0604613688378,114.31468649653542,138.72902528966378,141.73618226956697,83.18954892777914,100.23247400089876,91.91186059443294,96.42870278931906,94.45279071190032,92.42245941463484,91.01972951199026
Cement-process-emissions-CO2-per-population,AUS,ktCO2 / capita,203.21063413043188,184.28805119815024,167.16279837959027,169.89419464469754,194.82476312211045,185.7635526488372,177.54246529534632,172.4643196501893,186.17688840289432,186.59770467859815,189.92085162586883,183.77112570012466,179.09965555665153,181.9569018019623,178.20952216337437,181.03748014405718,188.9799969922628,189.62446717052413,181.00041077675417,176.1347327204881,160.44257376470523,155.51740475971337,154.15052478876711,142.28493625405923,133.67601194615406,129.2461086248836
Cement-process-emissions-CO2-per-population,AUT,ktCO2 / capita,263.2073308614544,257.95408828925747,268.80577320735597,257.4731192741691,264.4953718972283,204.12707141731644,203.79495134800882,219.22409856693918,198.8546271942097,199.5997323599855,212.16277643744,212.40473277261776,213.4143193140451,214.53421612817843,217.84623098637488,217.72185639080894,235.855461882607,256.38301673660146,255.80284496416778,214.9333133254592,192.86680573211558,196.92987972383483,196.41803016548891,193.0568997906452,189.84805205937067,195.9980674429235
Cement-process-emissions-CO2-per-population,AZE,ktCO2 / capita,65.99684927175652,63.52307624563125,50.91052074476577,39.09382002413424,31.130798940980196,13.414056027283909,15.22489887090062,22.307265165880636,14.30555360865412,12.987133922058572,14.896449363583057,37.219667648252546,57.1099605352896,64.77415932027318,85.84567757012111,86.95798822430734,90.73954875874763,93.5891275682278,87.37338906730832,69.58445530330475,68.35349451428331,75.23195791471137,102.4402053466858,118.16359915454957,145.83684728935492,131.5312819860163
Cement-process-emissions-CO2-per-population,BDI,ktCO2 / capita,,,,,,,,,,,,,,,,,,,,,,1.5547064258692533,3.016188271952668,4.17387746445746,2.880166279308396,3.990481671727487
