GWP,category,categoryCode,categorySet,country,countryName,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CementProduction,IPC2A1,ipcc2006,AFG,Afghanistan,HISTORY,ANDREW2018V2I,kt,CO2,44.94,44.89,47.83,47.77,47.72,47.67,47.61,47.56,47.51,47.46,20.74,20.65,23.5,29.25,29.12,23.19,20.09,11.32,14.04,11.23,14.03,13.91,13.86,19.68,39.28,31.61,31.61,31.61
,CementProduction,IPC2A1,ipcc2006,AGO,Angola,HISTORY,ANDREW2018V2I,kt,CO2,105.6,105.5,123.4,102.2,99.0,80.88,110.7,122.4,143.1,83.36,80.26,222.1,238.9,279.0,301.3,521.5,539.8,540.9,684.4,693.7,578.4,573.7,612.9,778.4,968.7,987.7,987.7,987.7
,CementProduction,IPC2A1,ipcc2006,ALB,Albania,HISTORY,ANDREW2018V2I,kt,CO2,373.7,300.4,98.93,98.93,51.3,98.93,102.6,51.3,40.3,51.3,87.94,,,289.5,285.8,245.5,260.1,443.3,458.0,553.3,648.5,897.7,1096.0,1147.0,1096.0,1096.0,1096.0,1096.0
,CementProduction,IPC2A1,ipcc2006,ARE,United arab emirates,HISTORY,ANDREW2018V2I,kt,CO2,1359.0,1438.0,1563.0,1632.0,2025.0,2379.0,2393.0,2078.0,2775.0,2753.0,2359.0,2312.0,2599.0,2909.0,3204.0,3484.0,4588.0,5793.0,7834.0,6831.0,6453.0,6369.0,5354.0,5467.0,5588.0,5588.0,5588.0,5588.0
,CementProduction,IPC2A1,ipcc2006,ARG,Argentina,HISTORY,ANDREW2018V2I,kt,CO2,1633.0,1535.0,2281.0,2548.0,2831.0,2455.0,2304.0,3086.0,3186.0,3226.0,2745.0,2462.0,1719.0,2270.0,2691.0,3232.0,3773.0,3985.0,3925.0,3728.0,4117.0,4549.0,4184.0,4657.0,4497.0,4336.0,4336.0,4336.0
,CementProduction,IPC2A1,ipcc2006,ARM,Armenia,HISTORY,ANDREW2018V2I,kt,CO2,365.8,381.1,95.69,53.38,30.76,66.16,75.44,161.4,201.4,164.8,138.8,143.5,211.4,220.2,298.3,331.1,338.2,406.9,412.2,240.3,288.4,264.3,277.9,273.3,268.6,265.5,265.5,265.5
,CementProduction,IPC2A1,ipcc2006,AUS,Australia,HISTORY,ANDREW2018V2I,kt,CO2,3463.0,3183.0,2923.0,3005.0,3484.0,3358.0,3244.0,3185.0,3475.0,3520.0,3621.0,3541.0,3488.0,3584.0,3555.0,3664.0,3888.0,3972.0,3863.0,3829.0,3549.0,3496.0,3518.0,3294.0,3138.0,3076.0,2931.0,2931.0
,CementProduction,IPC2A1,ipcc2006,AUT,Austria,HISTORY,ANDREW2018V2I,kt,CO2,2033.0,2005.0,2105.0,2032.0,2102.0,1631.0,1634.0,1761.0,1599.0,1607.0,1712.0,1720.0,1736.0,1754.0,1790.0,1797.0,1954.0,2131.0,2133.0,1799.0,1622.0,1666.0,1673.0,1656.0,1639.0,1701.0,1729.0,1729.0
,CementProduction,IPC2A1,ipcc2006,AZE,Azerbaijan,HISTORY,ANDREW2018V2I,kt,CO2,478.0,467.4,380.4,296.4,239.2,104.3,119.6,176.8,114.3,104.6,121.0,305.1,472.7,541.6,725.3,742.5,783.1,816.5,770.8,621.0,617.4,688.1,949.1,1109.0,1386.0,1265.0,1265.0,1265.0
,CementProduction,IPC2A1,ipcc2006,BDI,Burundi,HISTORY,ANDREW2018V2I,kt,CO2,,,,,,,,,,,,,,,,,,,,,,14.06,28.11,40.07,28.49,40.7,40.7,40.7
