GWP,category,categoryCode,categorySet,country,countryName,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Economy,ECO,misc,AFG,Afghanistan,HISTORY,WDI2017P,2005GKD,GDPPPP,,,,,,,,,,,,,20300000000.0,22010000000.0,22240000000.0,24730000000.0,26100000000.0,29690000000.0,30760000000.0,37230000000.0,40370000000.0,42840000000.0,49020000000.0,49980000000.0,50630000000.0,51060000000.0
,Economy,ECO,misc,AGO,Angola,HISTORY,WDI2017P,2005GKD,GDPPPP,46440000000.0,45880000000.0,42710000000.0,32160000000.0,33290000000.0,36750000000.0,40870000000.0,44100000000.0,47100000000.0,48620000000.0,50090000000.0,52200000000.0,48580000000.0,51130000000.0,56690000000.0,67040000000.0,80940000000.0,99230000000.0,112900000000.0,115700000000.0,119600000000.0,124300000000.0,130700000000.0,139600000000.0,146300000000.0,150700000000.0
,Economy,ECO,misc,ALB,Albania,HISTORY,WDI2017P,2005GKD,GDPPPP,13000000000.0,9156000000.0,8497000000.0,9313000000.0,10090000000.0,11430000000.0,12470000000.0,11120000000.0,12120000000.0,13750000000.0,14670000000.0,15830000000.0,16500000000.0,17460000000.0,18450000000.0,19510000000.0,20570000000.0,21780000000.0,23420000000.0,24210000000.0,25110000000.0,25750000000.0,26110000000.0,26400000000.0,26880000000.0,27630000000.0
,Economy,ECO,misc,ARE,United arab emirates,HISTORY,WDI2017P,2005GKD,GDPPPP,180100000000.0,181700000000.0,187700000000.0,190100000000.0,203200000000.0,216800000000.0,229400000000.0,248200000000.0,248900000000.0,256100000000.0,283900000000.0,287900000000.0,294900000000.0,320800000000.0,351500000000.0,368600000000.0,404800000000.0,417700000000.0,431100000000.0,408500000000.0,415100000000.0,436800000000.0,466400000000.0,488500000000.0,503500000000.0,522500000000.0
,Economy,ECO,misc,ARG,Argentina,HISTORY,WDI2017P,2005GKD,GDPPPP,307300000000.0,346300000000.0,387600000000.0,410500000000.0,434500000000.0,422100000000.0,445400000000.0,481600000000.0,500100000000.0,483200000000.0,479400000000.0,458200000000.0,408300000000.0,444400000000.0,484500000000.0,527400000000.0,569900000000.0,621200000000.0,646400000000.0,608100000000.0,669700000000.0,709900000000.0,702600000000.0,719500000000.0,701500000000.0,720000000000.0
,Economy,ECO,misc,ARM,Armenia,HISTORY,WDI2017P,2005GKD,GDPPPP,11500000000.0,10150000000.0,5908000000.0,5388000000.0,5679000000.0,6071000000.0,6427000000.0,6640000000.0,7125000000.0,7360000000.0,7794000000.0,8539000000.0,9665000000.0,11020000000.0,12180000000.0,13860000000.0,15690000000.0,17850000000.0,19080000000.0,16380000000.0,16740000000.0,17530000000.0,18790000000.0,19410000000.0,20110000000.0,20720000000.0
,Economy,ECO,misc,ATG,Antigua and barbuda,HISTORY,WDI2017P,2005GKD,GDPPPP,922000000.0,940700000.0,948700000.0,999800000.0,1063000000.0,1019000000.0,1087000000.0,1140000000.0,1191000000.0,1240000000.0,1302000000.0,1261000000.0,1298000000.0,1374000000.0,1447000000.0,1535000000.0,1740000000.0,1906000000.0,1907000000.0,1678000000.0,1558000000.0,1530000000.0,1588000000.0,1585000000.0,1658000000.0,1727000000.0
,Economy,ECO,misc,AUS,Australia,HISTORY,WDI2017P,2005GKD,GDPPPP,423300000000.0,421700000000.0,423400000000.0,440600000000.0,458400000000.0,476200000000.0,495000000000.0,514500000000.0,537300000000.0,564200000000.0,586100000000.0,597400000000.0,620400000000.0,639500000000.0,666000000000.0,687400000000.0,707900000000.0,734500000000.0,761700000000.0,775500000000.0,791200000000.0,810000000000.0,839400000000.0,859900000000.0,881400000000.0,901200000000.0
,Economy,ECO,misc,AUT,Austria,HISTORY,WDI2017P,2005GKD,GDPPPP,208400000000.0,215600000000.0,220100000000.0,221300000000.0,226600000000.0,232600000000.0,238200000000.0,243400000000.0,252100000000.0,261200000000.0,270000000000.0,273600000000.0,278100000000.0,280200000000.0,287800000000.0,294000000000.0,303800000000.0,314800000000.0,319700000000.0,307600000000.0,313500000000.0,322300000000.0,324700000000.0,325100000000.0,327200000000.0,330400000000.0
,Economy,ECO,misc,AZE,Azerbaijan,HISTORY,WDI2017P,2005GKD,GDPPPP,52910000000.0,52540000000.0,40670000000.0,31270000000.0,25110000000.0,22150000000.0,22440000000.0,23740000000.0,26110000000.0,28050000000.0,31160000000.0,34240000000.0,37870000000.0,42110000000.0,46410000000.0,58660000000.0,78900000000.0,98670000000.0,109300000000.0,119600000000.0,125400000000.0,125500000000.0,128200000000.0,135700000000.0,138400000000.0,139900000000.0
,Economy,ECO,misc,BDI,Burundi,HISTORY,WDI2017P,2005GKD,GDPPPP,5113000000.0,5368000000.0,5423000000.0,5084000000.0,4890000000.0,4502000000.0,4142000000.0,4076000000.0,4270000000.0,4227000000.0,4191000000.0,4277000000.0,4467000000.0,4412000000.0,4625000000.0,4667000000.0,4918000000.0,5154000000.0,5414000000.0,5602000000.0,5814000000.0,6058000000.0,6301000000.0,6590000000.0,6898000000.0,6628000000.0
,Economy,ECO,misc,BEL,Belgium,HISTORY,WDI2017P,2005GKD,GDPPPP,265700000000.0,270500000000.0,274700000000.0,272000000000.0,280800000000.0,287500000000.0,292100000000.0,302900000000.0,308900000000.0,319900000000.0,331600000000.0,334300000000.0,340200000000.0,342800000000.0,355300000000.0,362700000000.0,371800000000.0,384400000000.0,387300000000.0,378500000000.0,388700000000.0,395600000000.0,396200000000.0,395900000000.0,402500000000.0,408500000000.0
,Economy,ECO,misc,BEN,Benin,HISTORY,WDI2017P,2005GKD,GDPPPP,6322000000.0,6589000000.0,6784000000.0,7180000000.0,7325000000.0,7768000000.0,8104000000.0,8569000000.0,8908000000.0,9384000000.0,9934000000.0,10460000000.0,10950000000.0,11330000000.0,11830000000.0,12030000000.0,12510000000.0,13250000000.0,13900000000.0,14230000000.0,14530000000.0,14960000000.0,15680000000.0,16800000000.0,17870000000.0,18250000000.0
,Economy,ECO,misc,BFA,Burkina faso,HISTORY,WDI2017P,2005GKD,GDPPPP,6459000000.0,7045000000.0,7061000000.0,7306000000.0,7402000000.0,7825000000.0,8687000000.0,9235000000.0,9910000000.0,10640000000.0,10840000000.0,11550000000.0,12060000000.0,13000000000.0,13580000000.0,14760000000.0,15680000000.0,16320000000.0,17270000000.0,17780000000.0,19280000000.0,20560000000.0,21890000000.0,23140000000.0,24070000000.0,25040000000.0
,Economy,ECO,misc,BGD,Bangladesh,HISTORY,WDI2017P,2005GKD,GDPPPP,118700000000.0,122900000000.0,129600000000.0,135700000000.0,140900000000.0,148200000000.0,154900000000.0,161800000000.0,170200000000.0,178100000000.0,187600000000.0,197100000000.0,204700000000.0,214400000000.0,225600000000.0,240300000000.0,256400000000.0,274500000000.0,291000000000.0,305600000000.0,322700000000.0,343500000000.0,365900000000.0,387900000000.0,411500000000.0,438400000000.0
,Economy,ECO,misc,BGR,Bulgaria- the republic of,HISTORY,WDI2017P,2005GKD,GDPPPP,70370000000.0,64430000000.0,59740000000.0,58860000000.0,59930000000.0,61640000000.0,62630000000.0,61940000000.0,64110000000.0,60510000000.0,63540000000.0,66240000000.0,70230000000.0,73790000000.0,78630000000.0,84320000000.0,90020000000.0,96930000000.0,102400000000.0,98080000000.0,98130000000.0,100000000000.0,100000000000.0,100900000000.0,102200000000.0,105900000000.0
,Economy,ECO,misc,BHR,Bahrain,HISTORY,WDI2017P,2005GKD,GDPPPP,15120000000.0,16820000000.0,17940000000.0,20250000000.0,20200000000.0,20990000000.0,21860000000.0,22530000000.0,23610000000.0,24630000000.0,25930000000.0,26580000000.0,27540000000.0,29200000000.0,31240000000.0,33350000000.0,35510000000.0,38450000000.0,40850000000.0,41890000000.0,43710000000.0,44570000000.0,46240000000.0,48740000000.0,50860000000.0,52320000000.0
,Economy,ECO,misc,BHS,Bahamas,HISTORY,WDI2017P,2005GKD,GDPPPP,5404000000.0,5178000000.0,4980000000.0,4995000000.0,5152000000.0,5378000000.0,5605000000.0,5721000000.0,5990000000.0,6418000000.0,6685000000.0,6860000000.0,7046000000.0,6957000000.0,7018000000.0,7256000000.0,7439000000.0,7547000000.0,7371000000.0,7063000000.0,7172000000.0,7216000000.0,7439000000.0,7440000000.0,7401000000.0,7277000000.0
,Economy,ECO,misc,BIH,Bosnia and herzegovina,HISTORY,WDI2017P,2005GKD,GDPPPP,,,,,5046000000.0,6096000000.0,11520000000.0,15480000000.0,17900000000.0,19610000000.0,20690000000.0,21600000000.0,22750000000.0,23660000000.0,25100000000.0,27300000000.0,28770000000.0,30410000000.0,32080000000.0,31160000000.0,31400000000.0,31690000000.0,31390000000.0,32140000000.0,32490000000.0,33470000000.0
