GWP,category,categoryCode,categorySet,country,countryName,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,LandManagement,LANDMANAGE,misc,AFG,Afghanistan,HISTORY,WDI2017P,km^2,FORESTAREA,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
,LandManagement,LANDMANAGE,misc,AGO,Angola,HISTORY,WDI2017P,km^2,FORESTAREA,609800.0,608500.0,607300.0,606000.0,604800.0,603500.0,602300.0,601000.0,599800.0,598500.0,597300.0,596000.0,594800.0,593500.0,592300.0,591000.0,589800.0,588500.0,587300.0,586000.0,584800.0,583600.0,582300.0,581100.0,579800.0,578600.0
,LandManagement,LANDMANAGE,misc,ALB,Albania,HISTORY,WDI2017P,km^2,FORESTAREA,7888.0,7868.0,7849.0,7830.0,7810.0,7790.0,7771.0,7752.0,7732.0,7712.0,7693.0,7719.0,7745.0,7772.0,7798.0,7824.0,7812.0,7800.0,7787.0,7775.0,7763.0,7753.0,7744.0,7734.0,7725.0,7715.0
,LandManagement,LANDMANAGE,misc,AND,Andorra,HISTORY,WDI2017P,km^2,FORESTAREA,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
,LandManagement,LANDMANAGE,misc,ARE,United arab emirates,HISTORY,WDI2017P,km^2,FORESTAREA,2450.0,2515.0,2580.0,2645.0,2710.0,2775.0,2840.0,2905.0,2970.0,3035.0,3100.0,3104.0,3108.0,3112.0,3116.0,3120.0,3131.0,3141.0,3152.0,3162.0,3173.0,3184.0,3194.0,3205.0,3215.0,3226.0
,LandManagement,LANDMANAGE,misc,ARG,Argentina,HISTORY,WDI2017P,km^2,FORESTAREA,347900.0,345000.0,342100.0,339100.0,336200.0,333300.0,330300.0,327400.0,324500.0,321500.0,318600.0,315300.0,311900.0,308600.0,305200.0,301900.0,298700.0,295500.0,292300.0,289100.0,286000.0,283000.0,280000.0,277100.0,274100.0,271100.0
,LandManagement,LANDMANAGE,misc,ARM,Armenia,HISTORY,WDI2017P,km^2,FORESTAREA,3350.0,3346.0,3346.0,3344.0,3342.0,3340.0,3338.0,3336.0,3334.0,3332.0,3330.0,3328.0,3326.0,3324.0,3322.0,3320.0,3318.0,3316.0,3314.0,3312.0,3310.0,3312.0,3314.0,3316.0,3318.0,3320.0
,LandManagement,LANDMANAGE,misc,ATG,Antigua and barbuda,HISTORY,WDI2017P,km^2,FORESTAREA,103.0,102.7,102.4,102.1,101.8,101.5,101.2,100.9,100.6,100.3,100.0,99.6,99.2,98.8,98.4,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
,LandManagement,LANDMANAGE,misc,AUS,Australia,HISTORY,WDI2017P,km^2,FORESTAREA,1285000.0,1286000.0,1286000.0,1286000.0,1287000.0,1287000.0,1287000.0,1288000.0,1288000.0,1288000.0,1288000.0,1286000.0,1284000.0,1281000.0,1279000.0,1276000.0,1268000.0,1259000.0,1250000.0,1241000.0,1232000.0,1235000.0,1238000.0,1241000.0,1244000.0,1248000.0
,LandManagement,LANDMANAGE,misc,AUT,Austria,HISTORY,WDI2017P,km^2,FORESTAREA,37760.0,37820.0,37880.0,37950.0,38010.0,38070.0,38130.0,38190.0,38260.0,38320.0,38380.0,38410.0,38430.0,38460.0,38480.0,38510.0,38530.0,38550.0,38560.0,38580.0,38600.0,38620.0,38640.0,38650.0,38670.0,38690.0
,LandManagement,LANDMANAGE,misc,AZE,Azerbaijan,HISTORY,WDI2017P,km^2,FORESTAREA,8520.0,8558.0,8558.0,8578.0,8598.0,8618.0,8638.0,8658.0,8678.0,8698.0,8718.0,8729.0,8740.0,8750.0,8761.0,8772.0,9034.0,9296.0,9559.0,9821.0,10080.0,10350.0,10610.0,10870.0,11130.0,11390.0
,LandManagement,LANDMANAGE,misc,BDI,Burundi,HISTORY,WDI2017P,km^2,FORESTAREA,2890.0,2799.0,2708.0,2617.0,2526.0,2435.0,2344.0,2253.0,2162.0,2071.0,1980.0,1946.0,1912.0,1878.0,1844.0,1810.0,1954.0,2098.0,2242.0,2386.0,2530.0,2576.0,2622.0,2668.0,2714.0,2760.0
,LandManagement,LANDMANAGE,misc,BEL,Belgium,HISTORY,WDI2017P,km^2,FORESTAREA,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6673.0,6687.0,6701.0,6714.0,6728.0,6742.0,6756.0,6770.0,6784.0,6798.0,6812.0,6816.0,6821.0,6825.0,6830.0,6834.0
,LandManagement,LANDMANAGE,misc,BEN,Benin,HISTORY,WDI2017P,km^2,FORESTAREA,57610.0,56910.0,56210.0,55510.0,54810.0,54110.0,53410.0,52710.0,52010.0,51310.0,50610.0,50110.0,49610.0,49110.0,48610.0,48110.0,47610.0,47110.0,46610.0,46110.0,45610.0,45110.0,44610.0,44110.0,43610.0,43110.0
,LandManagement,LANDMANAGE,misc,BFA,Burkina faso,HISTORY,WDI2017P,km^2,FORESTAREA,68470.0,67870.0,67270.0,66670.0,66070.0,65480.0,64880.0,64280.0,63680.0,63080.0,62480.0,61880.0,61280.0,60690.0,60090.0,59490.0,58890.0,58290.0,57690.0,57090.0,56490.0,55890.0,55290.0,54700.0,54100.0,53500.0
,LandManagement,LANDMANAGE,misc,BGD,Bangladesh,HISTORY,WDI2017P,km^2,FORESTAREA,14940.0,14910.0,14890.0,14860.0,14840.0,14810.0,14780.0,14760.0,14730.0,14710.0,14680.0,14650.0,14630.0,14600.0,14580.0,14550.0,14520.0,14500.0,14470.0,14450.0,14420.0,14390.0,14370.0,14340.0,14320.0,14290.0
,LandManagement,LANDMANAGE,misc,BGR,Bulgaria- the republic of,HISTORY,WDI2017P,km^2,FORESTAREA,33270.0,33320.0,33370.0,33410.0,33460.0,33510.0,33560.0,33610.0,33650.0,33700.0,33750.0,34300.0,34850.0,35410.0,35960.0,36510.0,36680.0,36850.0,37030.0,37200.0,37370.0,37540.0,37710.0,37890.0,38060.0,38230.0
,LandManagement,LANDMANAGE,misc,BHR,Bahrain,HISTORY,WDI2017P,km^2,FORESTAREA,2.2,2.3,2.5,2.6,2.8,2.9,3.1,3.2,3.4,3.6,3.7,3.9,4.0,4.2,4.3,4.5,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.7,5.9,6.0
,LandManagement,LANDMANAGE,misc,BHS,Bahamas,HISTORY,WDI2017P,km^2,FORESTAREA,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0
,LandManagement,LANDMANAGE,misc,BIH,Bosnia and herzegovina,HISTORY,WDI2017P,km^2,FORESTAREA,22100.0,22050.0,22050.0,22020.0,22000.0,21980.0,21950.0,21920.0,21900.0,21880.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0
,LandManagement,LANDMANAGE,misc,BLR,Belarus,HISTORY,WDI2017P,km^2,FORESTAREA,77800.0,78790.0,78790.0,79280.0,79770.0,80260.0,80760.0,81250.0,81740.0,82240.0,82730.0,83060.0,83380.0,83710.0,84030.0,84360.0,84560.0,84750.0,84950.0,85140.0,85340.0,85540.0,85740.0,85940.0,86140.0,86340.0
,LandManagement,LANDMANAGE,misc,BLZ,Belize,HISTORY,WDI2017P,km^2,FORESTAREA,16160.0,16000.0,15850.0,15690.0,15530.0,15380.0,15220.0,15060.0,14910.0,14750.0,14590.0,14510.0,14420.0,14340.0,14250.0,14170.0,14120.0,14060.0,14010.0,13960.0,13910.0,13860.0,13810.0,13760.0,13710.0,13660.0
,LandManagement,LANDMANAGE,misc,BOL,Bolivia- the plurinational state of,HISTORY,WDI2017P,km^2,FORESTAREA,628000.0,625200.0,622500.0,619800.0,617100.0,614400.0,611700.0,609000.0,606300.0,603600.0,600900.0,598200.0,595500.0,592800.0,590100.0,587300.0,582300.0,577200.0,572200.0,567100.0,562100.0,559200.0,556300.0,553400.0,550500.0,547600.0
,LandManagement,LANDMANAGE,misc,BRA,Brazil,HISTORY,WDI2017P,km^2,FORESTAREA,5467000.0,5442000.0,5416000.0,5391000.0,5365000.0,5340000.0,5314000.0,5289000.0,5264000.0,5238000.0,5213000.0,5184000.0,5155000.0,5126000.0,5096000.0,5067000.0,5051000.0,5034000.0,5018000.0,5001000.0,4985000.0,4975000.0,4965000.0,4955000.0,4945000.0,4935000.0
,LandManagement,LANDMANAGE,misc,BRB,Barbados,HISTORY,WDI2017P,km^2,FORESTAREA,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
,LandManagement,LANDMANAGE,misc,BRN,Brunei darussalam,HISTORY,WDI2017P,km^2,FORESTAREA,4130.0,4114.0,4098.0,4082.0,4066.0,4050.0,4034.0,4018.0,4002.0,3986.0,3970.0,3954.0,3938.0,3922.0,3906.0,3890.0,3872.0,3854.0,3836.0,3818.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
,LandManagement,LANDMANAGE,misc,BTN,Bhutan,HISTORY,WDI2017P,km^2,FORESTAREA,25070.0,25170.0,25270.0,25360.0,25460.0,25560.0,25660.0,25760.0,25860.0,25960.0,26060.0,26160.0,26260.0,26360.0,26460.0,26560.0,26660.0,26760.0,26850.0,26950.0,27050.0,27150.0,27250.0,27350.0,27450.0,27550.0
,LandManagement,LANDMANAGE,misc,BWA,Botswana,HISTORY,WDI2017P,km^2,FORESTAREA,137200.0,136000.0,134800.0,133600.0,132400.0,131300.0,130100.0,128900.0,127700.0,126500.0,125400.0,124200.0,123000.0,121800.0,120600.0,119400.0,118200.0,117100.0,115900.0,114700.0,113500.0,112500.0,111500.0,110400.0,109400.0,108400.0
,LandManagement,LANDMANAGE,misc,CAF,Central african republic,HISTORY,WDI2017P,km^2,FORESTAREA,225600.0,225400.0,225300.0,225100.0,225000.0,224800.0,224700.0,224500.0,224400.0,224200.0,224000.0,223900.0,223700.0,223600.0,223400.0,223300.0,223100.0,222900.0,222800.0,222600.0,222500.0,222300.0,222200.0,222000.0,221900.0,221700.0
