category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC1,AFG,history,example,Gg,varname-1,2560,2380,1330,1290,1230,1180,1120,1030,979,763,748,792,1040,1160,913,1300,1630,2260,4190,6750,8440,12200,10700,9990,11100,11800,14000
IPC1,AGO,history,example,Gg,varname-1,4990,4960,5050,5650,3770,10900,10300,7230,7130,9050,9440,9460,12400,8720,18400,18500,21600,24500,24800,26900,28300,29600,32600,31600,33500,19900,20800
IPC1,ALB,history,example,Gg,varname-1,3070,4920,3100,3000,3300,3180,3090,3270,4000,4330,2990,3370,3480,3650,3900,3840,3750,3930,3980,4320,4460,4910,4310,4420,5220,4530,4760
IPC1,AND,history,example,Gg,varname-1,389,396,403,414,416,443,473,484,510,533,544,545,551,552,577,591,560,553,553,530,529,501,500,486,471,,
IPC1,ARE,history,example,Gg,varname-1,43700,47800,48700,55300,61000,59100,48600,50100,69700,67100,98700,94700,82700,110000,122000,131000,138000,150000,172000,186000,179000,184000,198000,191000,239000,257000,264000
IPC1,ARG,history,example,Gg,varname-1,100000,109000,113000,113000,118000,113000,123000,126000,131000,133000,136000,126000,119000,126000,138000,144000,154000,167000,171000,167000,173000,182000,182000,185000,186000,185000,185000
IPC1,ARM,history,example,Gg,varname-1,21000,19600,24600,9680,9650,10600,7140,7440,6220,4350,3080,3130,2670,3020,3190,3820,3850,4570,5200,4270,4230,5010,5820,5620,5660,6460,6590
IPC1,ATG,history,example,Gg,varname-1,282,268,264,271,268,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,537,556,566
IPC1,AUS,history,example,Gg,varname-1,259000,261000,266000,270000,272000,284000,290000,298000,312000,320000,327000,334000,339000,345000,357000,362000,368000,374000,379000,386000,381000,378000,384000,376000,372000,381000,392000
IPC1,AUT,history,example,Gg,varname-1,51700,55400,50800,51100,50900,53400,57700,56500,56400,54800,54400,58700,59900,65500,65700,66300,62900,59500,59000,55600,58700,56300,54400,54100,50300,52100,53100
IPC1,AZE,history,example,Gg,varname-1,55500,51500,45400,38500,34000,36500,29900,28800,28500,27800,28900,28600,28800,30500,32200,34700,37900,28300,34400,29200,28700,29800,31400,31300,32700,32100,31700
IPC1,BDI,history,example,Gg,varname-1,209,238,216,231,235,238,246,253,253,257,275,209,213,162,198,154,187,191,195,191,213,224,246,238,403,418,432
IPC1,BEL,history,example,Gg,varname-1,103000,106000,104000,104000,106000,106000,111000,105000,109000,103000,104000,105000,105000,106000,106000,104000,103000,101000,101000,93400,97200,87800,86800,86400,80800,84400,84200
IPC1,BEN,history,example,Gg,varname-1,558,661,715,880,1030,1040,1090,1120,1110,1460,1470,1690,1950,2230,2380,2270,3130,3720,3740,4000,4440,4570,4780,5100,5620,5460,5490
